km,station,train_id,time,hr,min,scenario
35,HILLSDALE,REG (C-EXP) 507_single_14,412,6,52,Baseline SB
38,BELMONT,REG (C-EXP) 507_single_14,415,6,55,Baseline SB
49,MENLO PARK,REG (C-EXP) 507_single_14,422,7,2,Baseline SB
51,PALO ALTO,REG (C-EXP) 507_single_14,425,7,5,Baseline SB
53,CALIFORNIA AVENUE,REG (C-EXP) 507_single_14,428,7,8,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 507_single_14,433,7,13,Baseline SB
65,SUNNYVALE,REG (C-EXP) 507_single_14,437,7,17,Baseline SB
74,SANTA CLARA,REG (C-EXP) 507_single_14,443,7,23,Baseline SB
78,SAN JOSE,REG (C-EXP) 507_single_14,450,7,30,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 507_single_14,453,7,33,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 3_multi_1,386,6,26,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 3_multi_1,391,6,31,Baseline SB
5,22nd STREET,REG (C-EXP) 3_multi_1,396,6,36,Baseline SB
17,SOUTH SAN FRANCISCO ,REG (C-EXP) 3_multi_1,403,6,43,Baseline SB
24,MILLBRAE,REG (C-EXP) 3_multi_1,408,6,48,Baseline SB
29,BURLINGAME,REG (C-EXP) 3_multi_1,412,6,52,Baseline SB
31,SAN MATEO,REG (C-EXP) 3_multi_1,415,6,55,Baseline SB
35,HILLSDALE,REG (C-EXP) 3_multi_1,418,6,58,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 3_multi_1,424,7,4,Baseline SB
47,ATHERTON,REG (C-EXP) 3_multi_1,428,7,8,Baseline SB
51,PALO ALTO,REG (C-EXP) 3_multi_1,431,7,11,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 3_multi_1,438,7,18,Baseline SB
68,LAWRENCE,REG (C-EXP) 3_multi_1,447,7,27,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 807_single_15,400,6,40,Baseline SB
24,MILLBRAE,HSR 807_single_15,420,7,0,Baseline SB
78,SAN JOSE,HSR 807_single_15,455,7,35,Baseline SB
126,GILROY (HSR) $,HSR 807_single_15,481,8,1,Baseline SB
78,SAN JOSE,REG (C-EXP) 3_multi_1,458,7,38,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 3_multi_1,461,7,41,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 409_multi_1,403,6,43,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 409_multi_1,408,6,48,Baseline SB
11,BAYSHORE,REG (C-EXP) 409_multi_1,419,6,59,Baseline SB
24,MILLBRAE,REG (C-EXP) 409_multi_1,428,7,8,Baseline SB
27,BROADWAY,REG (C-EXP) 409_multi_1,431,7,11,Baseline SB
33,HAYWARD PARK,REG (C-EXP) 409_multi_1,435,7,15,Baseline SB
35,HILLSDALE,REG (C-EXP) 409_multi_1,438,7,18,Baseline SB
40,SAN CARLOS,REG (C-EXP) 409_multi_1,442,7,22,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 409_multi_1,446,7,26,Baseline SB
51,PALO ALTO,REG (C-EXP) 409_multi_1,451,7,31,Baseline SB
57,SAN ANTONIO,REG (C-EXP) 409_multi_1,455,7,35,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 409_multi_1,459,7,39,Baseline SB
65,SUNNYVALE,REG (C-EXP) 409_multi_1,463,7,43,Baseline SB
68,LAWRENCE,REG (C-EXP) 409_multi_1,466,7,46,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 907_single_16,406,6,46,Baseline SB
2,TOWNSEND / 4TH AND KING $,HSR 907_single_16,411,6,51,Baseline SB
78,SAN JOSE,HSR 907_single_16,462,7,42,Baseline SB
126,GILROY (HSR) $,HSR 907_single_16,487,8,7,Baseline SB
78,SAN JOSE,IC (HSR) 705_single_17,468,7,48,Baseline SB
126,GILROY (HSR) $,IC (HSR) 705_single_17,493,8,13,Baseline SB
78,SAN JOSE,IC (HSR) 757_single_18,474,7,54,Baseline SB
126,GILROY (HSR) $,IC (HSR) 757_single_18,499,8,19,Baseline SB
78,SAN JOSE,REG (C-EXP) 409_multi_1,476,7,56,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 409_multi_1,479,7,59,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 509_single_19,411,6,51,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 509_single_19,416,6,56,Baseline SB
5,22nd STREET,REG (C-EXP) 509_single_19,421,7,1,Baseline SB
20,SAN BRUNO,REG (C-EXP) 509_single_19,429,7,9,Baseline SB
24,MILLBRAE,REG (C-EXP) 509_single_19,433,7,13,Baseline SB
31,SAN MATEO,REG (C-EXP) 509_single_19,437,7,17,Baseline SB
35,HILLSDALE,REG (C-EXP) 509_single_19,442,7,22,Baseline SB
38,BELMONT,REG (C-EXP) 509_single_19,445,7,25,Baseline SB
49,MENLO PARK,REG (C-EXP) 509_single_19,452,7,32,Baseline SB
51,PALO ALTO,REG (C-EXP) 509_single_19,455,7,35,Baseline SB
53,CALIFORNIA AVENUE,REG (C-EXP) 509_single_19,458,7,38,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 509_single_19,463,7,43,Baseline SB
65,SUNNYVALE,REG (C-EXP) 509_single_19,467,7,47,Baseline SB
74,SANTA CLARA,REG (C-EXP) 509_single_19,473,7,53,Baseline SB
78,SAN JOSE,REG (C-EXP) 509_single_19,480,8,0,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 509_single_19,483,8,3,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 4_multi_1,416,6,56,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 4_multi_1,421,7,1,Baseline SB
5,22nd STREET,REG (C-EXP) 4_multi_1,426,7,6,Baseline SB
17,SOUTH SAN FRANCISCO ,REG (C-EXP) 4_multi_1,433,7,13,Baseline SB
24,MILLBRAE,REG (C-EXP) 4_multi_1,438,7,18,Baseline SB
29,BURLINGAME,REG (C-EXP) 4_multi_1,442,7,22,Baseline SB
31,SAN MATEO,REG (C-EXP) 4_multi_1,445,7,25,Baseline SB
