scenario,departure_station,arrival_station,departure_hour,count_journey_time,mean_journey_time,min_journey_time,max_journey_time,count_wait_time,mean_wait_time,min_wait_time,max_wait_time
Baseline NB,ATHERTON,MILLBRAE,6,1,20.0,20,20,60,191.5,0.0,329.0
Baseline NB,ATHERTON,MILLBRAE,11,1,20.0,20,20,60,29.5,0.0,59.0
Baseline NB,ATHERTON,MILLBRAE,12,1,20.0,20,20,60,29.5,0.0,59.0
Baseline NB,ATHERTON,MILLBRAE,13,1,20.0,20,20,60,29.5,0.0,59.0
Baseline NB,ATHERTON,MILLBRAE,14,1,20.0,20,20,60,29.5,0.0,59.0
Baseline NB,ATHERTON,MILLBRAE,15,1,20.0,20,20,60,26.5,0.0,53.0
Baseline NB,ATHERTON,MILLBRAE,16,1,20.0,20,20,60,191.5,0.0,329.0
Baseline NB,ATHERTON,MILLBRAE,21,1,20.0,20,20,60,29.5,0.0,59.0
Baseline NB,ATHERTON,MILLBRAE,22,1,20.0,20,20,60,29.5,0.0,59.0
Baseline NB,ATHERTON,MILLBRAE,23,1,20.0,20,20,54,26.5,0.0,53.0
Baseline NB,ATHERTON,REDWOOD CITY,5,1,4.0,4,4,60,26.5,0.0,53.0
Baseline NB,ATHERTON,REDWOOD CITY,6,2,4.0,4,4,60,14.5,0.0,29.0
Baseline NB,ATHERTON,REDWOOD CITY,7,2,4.0,4,4,60,14.5,0.0,29.0
Baseline NB,ATHERTON,REDWOOD CITY,8,2,4.0,4,4,60,14.5,0.0,29.0
Baseline NB,ATHERTON,REDWOOD CITY,9,2,4.0,4,4,60,14.5,0.0,29.0
Baseline NB,ATHERTON,REDWOOD CITY,10,2,4.0,4,4,60,17.5,0.0,59.0
Baseline NB,ATHERTON,REDWOOD CITY,11,1,4.0,4,4,60,29.5,0.0,59.0
Baseline NB,ATHERTON,REDWOOD CITY,12,1,4.0,4,4,60,29.5,0.0,59.0
Baseline NB,ATHERTON,REDWOOD CITY,13,1,4.0,4,4,60,29.5,0.0,59.0
Baseline NB,ATHERTON,REDWOOD CITY,14,1,4.0,4,4,60,29.5,0.0,59.0
Baseline NB,ATHERTON,REDWOOD CITY,15,1,4.0,4,4,60,26.5,0.0,53.0
Baseline NB,ATHERTON,REDWOOD CITY,16,2,4.0,4,4,60,14.5,0.0,29.0
Baseline NB,ATHERTON,REDWOOD CITY,17,2,4.0,4,4,60,14.5,0.0,29.0
Baseline NB,ATHERTON,REDWOOD CITY,18,2,4.0,4,4,60,14.5,0.0,29.0
Baseline NB,ATHERTON,REDWOOD CITY,19,2,4.0,4,4,60,14.5,0.0,29.0
Baseline NB,ATHERTON,REDWOOD CITY,20,2,4.0,4,4,60,17.5,0.0,59.0
Baseline NB,ATHERTON,REDWOOD CITY,21,1,4.0,4,4,60,29.5,0.0,59.0
Baseline NB,ATHERTON,REDWOOD CITY,22,1,4.0,4,4,60,29.5,0.0,59.0
Baseline NB,ATHERTON,REDWOOD CITY,23,1,4.0,4,4,54,26.5,0.0,53.0
Baseline NB,ATHERTON,SALESFORCE TRANSIT CENTER (STC) $,5,1,41.0,41,41,60,26.5,0.0,53.0
Baseline NB,ATHERTON,SALESFORCE TRANSIT CENTER (STC) $,6,1,41.0,41,41,60,191.5,0.0,329.0
Baseline NB,ATHERTON,SALESFORCE TRANSIT CENTER (STC) $,11,1,41.0,41,41,60,29.5,0.0,59.0
Baseline NB,ATHERTON,SALESFORCE TRANSIT CENTER (STC) $,12,1,41.0,41,41,60,29.5,0.0,59.0
Baseline NB,ATHERTON,SALESFORCE TRANSIT CENTER (STC) $,13,1,41.0,41,41,60,29.5,0.0,59.0
Baseline NB,ATHERTON,SALESFORCE TRANSIT CENTER (STC) $,14,1,41.0,41,41,60,29.5,0.0,59.0
Baseline NB,ATHERTON,SALESFORCE TRANSIT CENTER (STC) $,15,1,41.0,41,41,60,26.5,0.0,53.0
Baseline NB,ATHERTON,SALESFORCE TRANSIT CENTER (STC) $,16,1,41.0,41,41,60,191.5,0.0,329.0
Baseline NB,ATHERTON,SALESFORCE TRANSIT CENTER (STC) $,21,1,41.0,41,41,60,29.5,0.0,59.0
Baseline NB,ATHERTON,SALESFORCE TRANSIT CENTER (STC) $,22,1,41.0,41,41,60,29.5,0.0,59.0
Baseline NB,ATHERTON,SALESFORCE TRANSIT CENTER (STC) $,23,1,41.0,41,41,54,26.5,0.0,53.0
Baseline NB,ATHERTON,SAN MATEO,5,1,13.0,13,13,60,26.5,0.0,53.0
Baseline NB,ATHERTON,SAN MATEO,6,2,13.0,13,13,60,14.5,0.0,29.0
Baseline NB,ATHERTON,SAN MATEO,7,2,13.0,13,13,60,14.5,0.0,29.0
Baseline NB,ATHERTON,SAN MATEO,8,2,13.0,13,13,60,14.5,0.0,29.0
Baseline NB,ATHERTON,SAN MATEO,9,2,13.0,13,13,60,14.5,0.0,29.0
Baseline NB,ATHERTON,SAN MATEO,10,2,13.0,13,13,60,17.5,0.0,59.0
Baseline NB,ATHERTON,SAN MATEO,11,1,13.0,13,13,60,29.5,0.0,59.0
Baseline NB,ATHERTON,SAN MATEO,12,1,13.0,13,13,60,29.5,0.0,59.0
Baseline NB,ATHERTON,SAN MATEO,13,1,13.0,13,13,60,29.5,0.0,59.0
Baseline NB,ATHERTON,SAN MATEO,14,1,13.0,13,13,60,29.5,0.0,59.0
Baseline NB,ATHERTON,SAN MATEO,15,1,13.0,13,13,60,26.5,0.0,53.0
Baseline NB,ATHERTON,SAN MATEO,16,2,13.0,13,13,60,14.5,0.0,29.0
Baseline NB,ATHERTON,SAN MATEO,17,2,13.0,13,13,60,14.5,0.0,29.0
Baseline NB,ATHERTON,SAN MATEO,18,2,13.0,13,13,60,14.5,0.0,29.0
Baseline NB,ATHERTON,SAN MATEO,19,2,13.0,13,13,60,14.5,0.0,29.0
Baseline NB,ATHERTON,SAN MATEO,20,2,13.0,13,13,60,17.5,0.0,59.0
Baseline NB,ATHERTON,SAN MATEO,21,1,13.0,13,13,60,29.5,0.0,59.0
Baseline NB,ATHERTON,SAN MATEO,22,1,13.0,13,13,60,29.5,0.0,59.0
Baseline NB,ATHERTON,SAN MATEO,23,1,13.0,13,13,54,26.5,0.0,53.0
Baseline NB,ATHERTON,SOUTH SAN FRANCISCO ,5,1,25.0,25,25,60,26.5,0.0,53.0
Baseline NB,ATHERTON,SOUTH SAN FRANCISCO ,6,1,25.0,25,25,60,191.5,0.0,329.0
Baseline NB,ATHERTON,SOUTH SAN FRANCISCO ,11,1,25.0,25,25,60,29.5,0.0,59.0
Baseline NB,ATHERTON,SOUTH SAN FRANCISCO ,12,1,25.0,25,25,60,29.5,0.0,59.0
Baseline NB,ATHERTON,SOUTH SAN FRANCISCO ,13,1,25.0,25,25,60,29.5,0.0,59.0
Baseline NB,ATHERTON,SOUTH SAN FRANCISCO ,14,1,25.0,25,25,60,29.5,0.0,59.0
Baseline NB,ATHERTON,SOUTH SAN FRANCISCO ,15,1,25.0,25,25,60,26.5,0.0,53.0
Baseline NB,ATHERTON,SOUTH SAN FRANCISCO ,16,1,25.0,25,25,60,191.5,0.0,329.0
Baseline NB,ATHERTON,SOUTH SAN FRANCISCO ,21,1,25.0,25,25,60,29.5,0.0,59.0
Baseline NB,ATHERTON,SOUTH SAN FRANCISCO ,22,1,25.0,25,25,60,29.5,0.0,59.0
Baseline NB,ATHERTON,SOUTH SAN FRANCISCO ,23,1,25.0,25,25,54,26.5,0.0,53.0
Baseline NB,ATHERTON,TOWNSEND / 4TH AND KING $,5,1,37.0,37,37,60,26.5,0.0,53.0
Baseline NB,ATHERTON,TOWNSEND / 4TH AND KING $,6,1,37.0,37,37,60,191.5,0.0,329.0
Baseline NB,ATHERTON,TOWNSEND / 4TH AND KING $,11,1,37.0,37,37,60,29.5,0.0,59.0
Baseline NB,ATHERTON,TOWNSEND / 4TH AND KING $,12,1,37.0,37,37,60,29.5,0.0,59.0
Baseline NB,ATHERTON,TOWNSEND / 4TH AND KING $,13,1,37.0,37,37,60,29.5,0.0,59.0
