,scenario,departure_station,arrival_station,departure_hour,count_journey_time,mean_journey_time,min_journey_time,max_journey_time,count_wait_time,mean_wait_time,min_wait_time,max_wait_time
707,Existing,Bayshore Caltrain,San Francisco Caltrain,16,1,13.0,13,13,60,23.483333333333334,0.0,40.0
708,Existing,Bayshore Caltrain,San Francisco Caltrain,17,1,17.0,17,17,60,28.233333333333334,0.0,57.0
709,Existing,Bayshore Caltrain,San Francisco Caltrain,18,1,16.0,16,16,60,29.5,0.0,59.0
710,Existing,Bayshore Caltrain,San Francisco Caltrain,19,1,16.0,16,16,60,36.833333333333336,0.0,70.0
711,Existing,Bayshore Caltrain,San Francisco Caltrain,20,1,12.0,12,12,60,18.383333333333333,0.0,36.0
712,Existing,Bayshore Caltrain,San Francisco Caltrain,21,1,13.0,13,13,60,29.5,0.0,59.0
713,Existing,Bayshore Caltrain,San Francisco Caltrain,22,1,13.0,13,13,60,29.5,0.0,59.0
714,Existing,Bayshore Caltrain,San Francisco Caltrain,23,2,13.0,13,13,53,19.20754716981132,0.0,44.0
715,Existing,Bayshore Caltrain,San Jose Diridon Caltrain,5,2,89.0,87,91,60,22.833333333333332,0.0,49.0
716,Existing,Bayshore Caltrain,San Jose Diridon Caltrain,6,1,72.0,72,72,60,29.5,0.0,59.0
717,Existing,Bayshore Caltrain,San Jose Diridon Caltrain,7,1,72.0,72,72,60,29.5,0.0,59.0
718,Existing,Bayshore Caltrain,San Jose Diridon Caltrain,8,1,72.0,72,72,60,21.333333333333332,0.0,45.0
719,Existing,Bayshore Caltrain,San Jose Diridon Caltrain,9,1,85.0,85,85,60,28.683333333333334,0.0,58.0
720,Existing,Bayshore Caltrain,San Jose Diridon Caltrain,10,1,86.0,86,86,60,29.5,0.0,59.0
721,Existing,Bayshore Caltrain,San Jose Diridon Caltrain,11,1,86.0,86,86,60,29.5,0.0,59.0
722,Existing,Bayshore Caltrain,San Jose Diridon Caltrain,12,1,86.0,86,86,60,29.5,0.0,59.0
723,Existing,Bayshore Caltrain,San Jose Diridon Caltrain,13,1,86.0,86,86,60,29.5,0.0,59.0
724,Existing,Bayshore Caltrain,San Jose Diridon Caltrain,14,1,86.0,86,86,60,29.5,0.0,59.0
725,Existing,Bayshore Caltrain,San Jose Diridon Caltrain,15,1,95.0,95,95,60,56.166666666666664,0.0,91.0
