trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
195,22:20:00,22:20:00,70011,23,San Francisco,0,0,78304.51332850000,1,,,,,1,1,,,,
197,21:37:00,21:37:00,70271,1,San Francisco,0,0,0,1,,,,,1,1,,,,
197,21:45:00,21:45:00,70261,2,San Francisco,0,0,2898.26431637197,1,,,,,1,1,,,,
197,21:50:00,21:50:00,70241,3,San Francisco,0,0,7023.78917774393,1,,,,,1,1,,,,
197,21:55:00,21:55:00,70231,4,San Francisco,0,0,12919.13639447630,1,,,,,1,1,,,,
197,22:00:00,22:00:00,70221,5,San Francisco,0,0,16106.23088461870,1,,,,,1,1,,,,
197,22:05:00,22:05:00,70211,6,San Francisco,0,0,20420.43255028200,1,,,,,1,1,,,,
197,22:08:00,22:08:00,70201,7,San Francisco,0,0,23528.61630353810,1,,,,,1,1,,,,
197,22:13:00,22:13:00,70191,8,San Francisco,0,0,27472.19879383510,1,,,,,1,1,,,,
197,22:17:00,22:17:00,70171,9,San Francisco,0,0,30020.14511328310,1,,,,,1,1,,,,
197,22:20:00,22:20:00,70161,10,San Francisco,0,0,32030.90489518000,1,,,,,1,1,,,,
197,22:27:00,22:27:00,70141,11,San Francisco,0,0,37632.50982533250,1,,,,,1,1,,,,
197,22:31:00,22:31:00,70131,12,San Francisco,0,0,41124.12539828430,1,,,,,1,1,,,,
197,22:35:00,22:35:00,70121,13,San Francisco,0,0,43109.64578268270,1,,,,,1,1,,,,
197,22:38:00,22:38:00,70111,14,San Francisco,0,0,45803.01812721960,1,,,,,1,1,,,,
197,22:41:00,22:41:00,70101,15,San Francisco,0,0,47792.59069187090,1,,,,,1,1,,,,
197,22:44:00,22:44:00,70091,16,San Francisco,0,0,49926.16441733920,1,,,,,1,1,,,,
197,22:48:00,22:48:00,70081,17,San Francisco,0,0,52250.58127151540,1,,,,,1,1,,,,
197,22:52:00,22:52:00,70061,18,San Francisco,0,0,56568.92587211700,1,,,,,1,1,,,,
197,22:57:00,22:57:00,70051,19,San Francisco,0,0,60718.74297758730,1,,,,,1,1,,,,
197,23:01:00,23:01:00,70041,20,San Francisco,0,0,63687.71948326320,1,,,,,1,1,,,,
197,23:07:00,23:07:00,70031,21,San Francisco,0,0,70362.90385227800,1,,,,,1,1,,,,
197,23:13:00,23:13:00,70021,22,San Francisco,0,0,75781.36752838670,1,,,,,1,1,,,,
197,23:20:00,23:20:00,70011,23,San Francisco,0,0,78304.51332850000,1,,,,,1,1,,,,
199,22:30:00,22:30:00,70261,1,San Francisco,0,0,0,1,,,,,1,1,,,,
199,22:35:00,22:35:00,70241,2,San Francisco,0,0,4121.03122796510,1,,,,,1,1,,,,
199,22:40:00,22:40:00,70231,3,San Francisco,0,0,10016.37844469750,1,,,,,1,1,,,,
199,22:45:00,22:45:00,70221,4,San Francisco,0,0,13203.47293483990,1,,,,,1,1,,,,
199,22:50:00,22:50:00,70211,5,San Francisco,0,0,17517.67460050320,1,,,,,1,1,,,,
199,22:54:00,22:54:00,70201,6,San Francisco,0,0,20625.85835375930,1,,,,,1,1,,,,
199,22:59:00,22:59:00,70191,7,San Francisco,0,0,24569.44084405630,1,,,,,1,1,,,,
199,23:04:00,23:04:00,70171,8,San Francisco,0,0,27117.38716350430,1,,,,,1,1,,,,
199,23:07:00,23:07:00,70161,9,San Francisco,0,0,29128.14694540120,1,,,,,1,1,,,,
199,23:13:00,23:13:00,70141,10,San Francisco,0,0,34729.75187555370,1,,,,,1,1,,,,
199,23:17:00,23:17:00,70131,11,San Francisco,0,0,38221.36744850550,1,,,,,1,1,,,,
199,23:21:00,23:21:00,70121,12,San Francisco,0,0,40206.88783290390,1,,,,,1,1,,,,
199,23:24:00,23:24:00,70111,13,San Francisco,0,0,42900.26017744080,1,,,,,1,1,,,,
199,23:27:00,23:27:00,70101,14,San Francisco,0,0,44889.83274209210,1,,,,,1,1,,,,
199,23:30:00,23:30:00,70091,15,San Francisco,0,0,47023.40646756040,1,,,,,1,1,,,,
199,23:34:00,23:34:00,70081,16,San Francisco,0,0,49347.82332173650,1,,,,,1,1,,,,
199,23:38:00,23:38:00,70061,17,San Francisco,0,0,53666.16792233820,1,,,,,1,1,,,,
199,23:42:00,23:42:00,70051,18,San Francisco,0,0,57815.98502780840,1,,,,,1,1,,,,
199,23:46:00,23:46:00,70041,19,San Francisco,0,0,60784.96153348440,1,,,,,1,1,,,,
199,23:52:00,23:52:00,70031,20,San Francisco,0,0,67460.14590249910,1,,,,,1,1,,,,
199,23:58:00,23:58:00,70021,21,San Francisco,0,0,72878.60957860790,1,,,,,1,1,,,,
199,24:05:00,24:05:00,70011,22,San Francisco,0,0,75401.75537871010,1,,,,,1,1,,,,
191,19:07:00,19:07:00,70261,1,San Francisco,0,0,0,1,,,,,1,1,,,,
191,19:12:00,19:12:00,70241,2,San Francisco,0,0,4121.03122796510,1,,,,,1,1,,,,
191,19:18:00,19:18:00,70231,3,San Francisco,0,0,10016.37844469750,1,,,,,1,1,,,,
191,19:22:00,19:22:00,70221,4,San Francisco,0,0,13203.47293483990,1,,,,,1,1,,,,
191,19:27:00,19:27:00,70211,5,San Francisco,0,0,17517.67460050320,1,,,,,1,1,,,,
191,19:31:00,19:31:00,70201,6,San Francisco,0,0,20625.85835375930,1,,,,,1,1,,,,
191,19:35:00,19:35:00,70191,7,San Francisco,0,0,24569.44084405630,1,,,,,1,1,,,,
191,19:40:00,19:40:00,70171,8,San Francisco,0,0,27117.38716350430,1,,,,,1,1,,,,
191,19:43:00,19:43:00,70161,9,San Francisco,0,0,29128.14694540120,1,,,,,1,1,,,,
191,19:49:00,19:49:00,70141,10,San Francisco,0,0,34729.75187555370,1,,,,,1,1,,,,
191,19:53:00,19:53:00,70131,11,San Francisco,0,0,38221.36744850550,1,,,,,1,1,,,,
191,19:57:00,19:57:00,70121,12,San Francisco,0,0,40206.88783290390,1,,,,,1,1,,,,
191,20:00:00,20:00:00,70111,13,San Francisco,0,0,42900.26017744080,1,,,,,1,1,,,,
191,20:03:00,20:03:00,70101,14,San Francisco,0,0,44889.83274209210,1,,,,,1,1,,,,
191,20:07:00,20:07:00,70091,15,San Francisco,0,0,47023.40646756040,1,,,,,1,1,,,,
