TOD,Scenario,Station_Name,Ridership_Number,count_journey_time,per_train,lat,lon
am,Ridership_2040_moderate,4th and King,20830,47,443.1914893617021,37.77673761681249,-122.39494716886722
am,Ridership_2040_moderate,Atherton,13721,21,653.3809523809524,37.46447556254199,-122.19767440578178
am,Ridership_2040_moderate,Bayshore,20565,47,437.5531914893617,37.707716194010786,-122.40181692100869
am,Ridership_2040_moderate,Belmont,16368,40,409.2,37.52120335901958,-122.27624353516848
am,Ridership_2040_moderate,Blossom Hill,1074,45,23.866666666666667,37.252451211010396,-121.79772696072882
am,Ridership_2040_moderate,Broadway,19485,40,487.125,37.58728824070041,-122.36206316363042
am,Ridership_2040_moderate,Burlingame,19359,40,483.975,37.579784239598354,-122.34406869702896
am,Ridership_2040_moderate,California Ave,14628,40,365.7,37.428924920324114,-122.14130909428673
am,Ridership_2040_moderate,Capitol,1075,45,23.88888888888889,37.28400149341915,-121.84184124217718
am,Ridership_2040_moderate,Gilroy,125,45,2.7777777777777777,37.004510163602646,-121.56675298501878
am,Ridership_2040_moderate,Hayward Park,18504,40,462.6,37.5529445877276,-122.30942618742424
am,Ridership_2040_moderate,Hillsdale,18871,40,471.775,37.54157217114981,-122.30068921820495
am,Ridership_2040_moderate,Lawrence,7744,21,368.76190476190476,37.37054208586365,-121.99678611573393
am,Ridership_2040_moderate,Menlo Park,13928,21,663.2380952380952,37.45481747441266,-122.18234505381756
am,Ridership_2040_moderate,Millbrae,21206,47,451.1914893617021,37.60005813774365,-122.38716357110485
am,Ridership_2040_moderate,Morgan Hill,308,45,6.844444444444444,37.12973319634205,-121.650645664784
am,Ridership_2040_moderate,Mountain View,15507,40,387.675,37.39445754646227,-122.07593286878692
am,Ridership_2040_moderate,Palo Alto,16097,40,402.425,37.44319218110702,-122.16441235036379
am,Ridership_2040_moderate,Redwood City,16259,40,406.475,37.48575969310709,-122.23136195740514
am,Ridership_2040_moderate,San Antonio,13209,40,330.225,37.407509282199506,-122.10751724793137
am,Ridership_2040_moderate,San Bruno,20241,47,430.6595744680851,37.630742889729746,-122.41180196248293
am,Ridership_2040_moderate,San Carlos,16125,40,403.125,37.50812619416385,-122.26029797578131
am,Ridership_2040_moderate,San Jose Diridon,7326,45,162.8,37.32973433784033,-121.90337965869688
am,Ridership_2040_moderate,San Mateo,19049,40,476.225,37.5681603459612,-122.32391967532075
am,Ridership_2040_moderate,Santa Clara,7486,21,356.4761904761905,37.353207282614996,-121.93549376712492
am,Ridership_2040_moderate,South San Francisco,21104,47,449.02127659574467,37.65434311314393,-122.40632367452082
am,Ridership_2040_moderate,Sunnyvale,12466,40,311.65,37.37884425148521,-122.03140710781794
am,Ridership_2040_moderate,Tamien,1843,45,40.955555555555556,37.31274326682811,-121.88475697613043
am,Ridership_2040_moderate,Transbay,11824,47,251.5744680851064,37.789051867125714,-122.39702424974188
ea,Ridership_2017_observed,Bayshore,5,2,2.5,37.707716194010786,-122.40181692100869
ea,Ridership_2017_observed,Belmont,58,4,14.5,37.52120335901958,-122.27624353516848
ea,Ridership_2017_observed,Burlingame,68,4,17.0,37.579784239598354,-122.34406869702896
ea,Ridership_2017_observed,California Ave,67,4,16.75,37.428924920324114,-122.14130909428673
ea,Ridership_2017_observed,Hayward Park,67,4,16.75,37.5529445877276,-122.30942618742424
ea,Ridership_2017_observed,Hillsdale,64,4,16.0,37.54157217114981,-122.30068921820495
ea,Ridership_2017_observed,Lawrence,38,4,9.5,37.37054208586365,-121.99678611573393
ea,Ridership_2017_observed,Menlo Park,33,4,8.25,37.45481747441266,-122.18234505381756
ea,Ridership_2017_observed,Millbrae,65,4,16.25,37.60005813774365,-122.38716357110485
ea,Ridership_2017_observed,Mountain View,62,4,15.5,37.39445754646227,-122.07593286878692
ea,Ridership_2017_observed,Palo Alto,60,4,15.0,37.44319218110702,-122.16441235036379
ea,Ridership_2017_observed,Redwood City,31,4,7.75,37.48575969310709,-122.23136195740514
ea,Ridership_2017_observed,San Antonio,65,4,16.25,37.407509282199506,-122.10751724793137
ea,Ridership_2017_observed,San Bruno,20,3,6.666666666666667,37.630742889729746,-122.41180196248293
ea,Ridership_2017_observed,San Carlos,54,4,13.5,37.50812619416385,-122.26029797578131
ea,Ridership_2017_observed,San Jose Diridon,13,4,3.25,37.32973433784033,-121.90337965869688
ea,Ridership_2017_observed,San Mateo,66,4,16.5,37.5681603459612,-122.32391967532075
ea,Ridership_2017_observed,Santa Clara,25,4,6.25,37.353207282614996,-121.93549376712492
ea,Ridership_2017_observed,South San Francisco,13,3,4.333333333333333,37.65434311314393,-122.40632367452082
ea,Ridership_2017_observed,Sunnyvale,63,4,15.75,37.37884425148521,-122.03140710781794
ea,Ridership_2017_observed,Tamien,2,3,0.6666666666666666,37.31274326682811,-121.88475697613043
ea,Ridership_2040_HSR2,22nd St,244,5,48.8,37.757576360740146,-122.39241209707016
ea,Ridership_2040_HSR2,4th and King,222,5,44.4,37.77673761681249,-122.39494716886722
ea,Ridership_2040_HSR2,Atherton,273,5,54.6,37.46447556254199,-122.19767440578178
ea,Ridership_2040_HSR2,Bayshore,249,5,49.8,37.707716194010786,-122.40181692100869
ea,Ridership_2040_HSR2,Belmont,312,5,62.4,37.52120335901958,-122.27624353516848
ea,Ridership_2040_HSR2,Blossom Hill,0,6,0.0,37.252451211010396,-121.79772696072882
ea,Ridership_2040_HSR2,Broadway,291,5,58.2,37.58728824070041,-122.36206316363042
ea,Ridership_2040_HSR2,Burlingame,298,5,59.6,37.579784239598354,-122.34406869702896
ea,Ridership_2040_HSR2,California Ave,253,5,50.6,37.428924920324114,-122.14130909428673
ea,Ridership_2040_HSR2,Capitol,0,6,0.0,37.28400149341915,-121.84184124217718
ea,Ridership_2040_HSR2,Gilroy,0,6,0.0,37.004510163602646,-121.56675298501878
ea,Ridership_2040_HSR2,Hayward Park,303,5,60.6,37.5529445877276,-122.30942618742424
ea,Ridership_2040_HSR2,Hillsdale,310,5,62.0,37.54157217114981,-122.30068921820495
ea,Ridership_2040_HSR2,Lawrence,144,5,28.8,37.37054208586365,-121.99678611573393
ea,Ridership_2040_HSR2,Menlo Park,261,5,52.2,37.45481747441266,-122.18234505381756
ea,Ridership_2040_HSR2,Millbrae,287,5,57.4,37.60005813774365,-122.38716357110485
ea,Ridership_2040_HSR2,Morgan Hill,0,6,0.0,37.12973319634205,-121.650645664784
ea,Ridership_2040_HSR2,Mountain View,227,5,45.4,37.39445754646227,-122.07593286878692
ea,Ridership_2040_HSR2,Palo Alto,279,5,55.8,37.44319218110702,-122.16441235036379
ea,Ridership_2040_HSR2,Redwood City,324,5,64.8,37.48575969310709,-122.23136195740514
ea,Ridership_2040_HSR2,San Antonio,234,5,46.8,37.407509282199506,-122.10751724793137
ea,Ridership_2040_HSR2,San Bruno,258,5,51.6,37.630742889729746,-122.41180196248293
ea,Ridership_2040_HSR2,San Carlos,316,5,63.2,37.50812619416385,-122.26029797578131
ea,Ridership_2040_HSR2,San Jose Diridon,81,6,13.5,37.32973433784033,-121.90337965869688
ea,Ridership_2040_HSR2,San Mateo,299,5,59.8,37.5681603459612,-122.32391967532075
ea,Ridership_2040_HSR2,Santa Clara,102,5,20.4,37.353207282614996,-121.93549376712492
ea,Ridership_2040_HSR2,South San Francisco,254,5,50.8,37.65434311314393,-122.40632367452082
