TOD,Scenario,Station_Name,Ridership_Number,lat,lon
ea,Ridership_2040_HSR2,Mountain View,7037,37.39445754646227,-122.07593286878692
ea,Ridership_2040_HSR2,Palo Alto,8742,37.44319218110702,-122.16441235036379
ea,Ridership_2040_HSR2,Redwood City,10323,37.48575969310709,-122.23136195740514
ea,Ridership_2040_HSR2,San Antonio,7254,37.407509282199506,-122.10751724793137
ea,Ridership_2040_HSR2,San Bruno,14694,37.630742889729746,-122.41180196248293
ea,Ridership_2040_HSR2,San Carlos,10726,37.50812619416385,-122.26029797578131
ea,Ridership_2040_HSR2,San Jose Diridon,2511,37.32973433784033,-121.90337965869688
ea,Ridership_2040_HSR2,San Martin,0,37.08595316953493,-121.61044251655308
ea,Ridership_2040_HSR2,San Mateo,13981,37.5681603459612,-122.32391967532075
ea,Ridership_2040_HSR2,Santa Clara,3162,37.353207282614996,-121.93549376712492
ea,Ridership_2040_HSR2,South San Francisco,15004,37.65434311314393,-122.40632367452082
ea,Ridership_2040_HSR2,Sunnyvale,5921,37.37884425148521,-122.03140710781794
ea,Ridership_2040_HSR2,Tamien,372,37.31274326682811,-121.88475697613043
ea,Ridership_2040_HSR2,Transbay,6417,37.789051867125714,-122.39702424974188
ea,Ridership_2040_high,22nd St,17174,37.757576360740146,-122.39241209707016
ea,Ridership_2040_high,4th and King,15779,37.77673761681249,-122.39494716886722
ea,Ridership_2040_high,Atherton,11315,37.46447556254199,-122.19767440578178
ea,Ridership_2040_high,Bayshore,17670,37.707716194010786,-122.40181692100869
ea,Ridership_2040_high,Belmont,14384,37.52120335901958,-122.27624353516848
ea,Ridership_2040_high,Blossom Hill,651,37.252451211010396,-121.79772696072882
ea,Ridership_2040_high,Broadway,17794,37.58728824070041,-122.36206316363042
ea,Ridership_2040_high,Burlingame,17825,37.579784239598354,-122.34406869702896
ea,Ridership_2040_high,California Ave,10447,37.428924920324114,-122.14130909428673
ea,Ridership_2040_high,Capitol,868,37.28400149341915,-121.84184124217718
ea,Ridership_2040_high,College Park,4619,37.34287482384451,-121.91566711874347
ea,Ridership_2040_high,Gilroy,93,37.004510163602646,-121.56675298501878
ea,Ridership_2040_high,Hayward Park,16895,37.5529445877276,-122.30942618742424
ea,Ridership_2040_high,Hillsdale,16275,37.54157217114981,-122.30068921820495
ea,Ridership_2040_high,Lawrence,6634,37.37054208586365,-121.99678611573393
ea,Ridership_2040_high,Menlo Park,11005,37.45481747441266,-122.18234505381756
ea,Ridership_2040_high,Millbrae,18197,37.60005813774365,-122.38716357110485
ea,Ridership_2040_high,Morgan Hill,186,37.12973319634205,-121.650645664784
ea,Ridership_2040_high,Mountain View,9300,37.39445754646227,-122.07593286878692
ea,Ridership_2040_high,Palo Alto,11532,37.44319218110702,-122.16441235036379
ea,Ridership_2040_high,Redwood City,13268,37.48575969310709,-122.23136195740514
ea,Ridership_2040_high,San Antonio,9765,37.407509282199506,-122.10751724793137
ea,Ridership_2040_high,San Bruno,17577,37.630742889729746,-122.41180196248293
ea,Ridership_2040_high,San Carlos,13702,37.50812619416385,-122.26029797578131
ea,Ridership_2040_high,San Jose Diridon,4712,37.32973433784033,-121.90337965869688
ea,Ridership_2040_high,San Martin,93,37.08595316953493,-121.61044251655308
ea,Ridership_2040_high,San Mateo,17453,37.5681603459612,-122.32391967532075
ea,Ridership_2040_high,Santa Clara,5332,37.353207282614996,-121.93549376712492
ea,Ridership_2040_high,South San Francisco,18104,37.65434311314393,-122.40632367452082
ea,Ridership_2040_high,Sunnyvale,8215,37.37884425148521,-122.03140710781794
ea,Ridership_2040_high,Tamien,1922,37.31274326682811,-121.88475697613043
ea,Ridership_2040_high,Transbay,8091,37.789051867125714,-122.39702424974188
ea,Ridership_2040_moderate,22nd St,16740,37.757576360740146,-122.39241209707016
ea,Ridership_2040_moderate,4th and King,16213,37.77673761681249,-122.39494716886722
ea,Ridership_2040_moderate,Atherton,10478,37.46447556254199,-122.19767440578178
ea,Ridership_2040_moderate,Bayshore,17174,37.707716194010786,-122.40181692100869
ea,Ridership_2040_moderate,Belmont,13144,37.52120335901958,-122.27624353516848
ea,Ridership_2040_moderate,Blossom Hill,310,37.252451211010396,-121.79772696072882
ea,Ridership_2040_moderate,Broadway,16864,37.58728824070041,-122.36206316363042
ea,Ridership_2040_moderate,Burlingame,16802,37.579784239598354,-122.34406869702896
ea,Ridership_2040_moderate,California Ave,9734,37.428924920324114,-122.14130909428673
ea,Ridership_2040_moderate,Capitol,434,37.28400149341915,-121.84184124217718
ea,Ridership_2040_moderate,College Park,4030,37.34287482384451,-121.91566711874347
ea,Ridership_2040_moderate,Gilroy,62,37.004510163602646,-121.56675298501878
ea,Ridership_2040_moderate,Hayward Park,15562,37.5529445877276,-122.30942618742424
ea,Ridership_2040_moderate,Hillsdale,15066,37.54157217114981,-122.30068921820495
