TOD,Scenario,Station_Name,Ridership_Number,lat,lon
ea,Ridership_2017_observed,Lawrence,1054,37.37054208586365,-121.99678611573393
ea,Ridership_2017_observed,Menlo Park,2697,37.45481747441266,-122.18234505381756
ea,Ridership_2017_observed,Millbrae,1333,37.60005813774365,-122.38716357110485
ea,Ridership_2017_observed,Morgan Hill,0,37.12973319634205,-121.650645664784
ea,Ridership_2017_observed,Mountain View,1674,37.39445754646227,-122.07593286878692
ea,Ridership_2017_observed,Palo Alto,2542,37.44319218110702,-122.16441235036379
ea,Ridership_2017_observed,Redwood City,2790,37.48575969310709,-122.23136195740514
ea,Ridership_2017_observed,San Antonio,1767,37.407509282199506,-122.10751724793137
ea,Ridership_2017_observed,San Bruno,1209,37.630742889729746,-122.41180196248293
ea,Ridership_2017_observed,San Carlos,2945,37.50812619416385,-122.26029797578131
ea,Ridership_2017_observed,San Jose Diridon,744,37.32973433784033,-121.90337965869688
ea,Ridership_2017_observed,San Martin,0,37.08595316953493,-121.61044251655308
ea,Ridership_2017_observed,San Mateo,2635,37.5681603459612,-122.32391967532075
ea,Ridership_2017_observed,Santa Clara,992,37.353207282614996,-121.93549376712492
ea,Ridership_2017_observed,South San Francisco,1147,37.65434311314393,-122.40632367452082
ea,Ridership_2017_observed,Sunnyvale,1271,37.37884425148521,-122.03140710781794
ea,Ridership_2017_observed,Tamien,0,37.31274326682811,-121.88475697613043
ea,Ridership_2017_observed,Transbay,0,37.789051867125714,-122.39702424974188
ea,Ridership_2040_HSR2,22nd St,2666,37.757576360740146,-122.39241209707016
ea,Ridership_2040_HSR2,4th and King,2108,37.77673761681249,-122.39494716886722
ea,Ridership_2040_HSR2,Atherton,4836,37.46447556254199,-122.19767440578178
ea,Ridership_2040_HSR2,Bayshore,2790,37.707716194010786,-122.40181692100869
ea,Ridership_2040_HSR2,Belmont,5053,37.52120335901958,-122.27624353516848
ea,Ridership_2040_HSR2,Blossom Hill,0,37.252451211010396,-121.79772696072882
ea,Ridership_2040_HSR2,Broadway,3875,37.58728824070041,-122.36206316363042
ea,Ridership_2040_HSR2,Burlingame,4092,37.579784239598354,-122.34406869702896
ea,Ridership_2040_HSR2,California Ave,3751,37.428924920324114,-122.14130909428673
ea,Ridership_2040_HSR2,Capitol,0,37.28400149341915,-121.84184124217718
ea,Ridership_2040_HSR2,College Park,2108,37.34287482384451,-121.91566711874347
ea,Ridership_2040_HSR2,Gilroy,0,37.004510163602646,-121.56675298501878
ea,Ridership_2040_HSR2,Hayward Park,4712,37.5529445877276,-122.30942618742424
ea,Ridership_2040_HSR2,Hillsdale,5177,37.54157217114981,-122.30068921820495
ea,Ridership_2040_HSR2,Lawrence,2573,37.37054208586365,-121.99678611573393
ea,Ridership_2040_HSR2,Menlo Park,5022,37.45481747441266,-122.18234505381756
ea,Ridership_2040_HSR2,Millbrae,3813,37.60005813774365,-122.38716357110485
ea,Ridership_2040_HSR2,Morgan Hill,0,37.12973319634205,-121.650645664784
ea,Ridership_2040_HSR2,Mountain View,3689,37.39445754646227,-122.07593286878692
ea,Ridership_2040_HSR2,Palo Alto,5363,37.44319218110702,-122.16441235036379
ea,Ridership_2040_HSR2,Redwood City,5363,37.48575969310709,-122.23136195740514
ea,Ridership_2040_HSR2,San Antonio,3410,37.407509282199506,-122.10751724793137
ea,Ridership_2040_HSR2,San Bruno,3162,37.630742889729746,-122.41180196248293
ea,Ridership_2040_HSR2,San Carlos,4991,37.50812619416385,-122.26029797578131
ea,Ridership_2040_HSR2,San Jose Diridon,2108,37.32973433784033,-121.90337965869688
ea,Ridership_2040_HSR2,San Martin,0,37.08595316953493,-121.61044251655308
ea,Ridership_2040_HSR2,San Mateo,4402,37.5681603459612,-122.32391967532075
ea,Ridership_2040_HSR2,Santa Clara,2232,37.353207282614996,-121.93549376712492
ea,Ridership_2040_HSR2,South San Francisco,2852,37.65434311314393,-122.40632367452082
ea,Ridership_2040_HSR2,Sunnyvale,3069,37.37884425148521,-122.03140710781794
ea,Ridership_2040_HSR2,Tamien,155,37.31274326682811,-121.88475697613043
ea,Ridership_2040_HSR2,Transbay,1240,37.789051867125714,-122.39702424974188
ea,Ridership_2040_high,22nd St,4123,37.757576360740146,-122.39241209707016
ea,Ridership_2040_high,4th and King,3596,37.77673761681249,-122.39494716886722
ea,Ridership_2040_high,Atherton,7502,37.46447556254199,-122.19767440578178
ea,Ridership_2040_high,Bayshore,4464,37.707716194010786,-122.40181692100869
ea,Ridership_2040_high,Belmont,7657,37.52120335901958,-122.27624353516848
ea,Ridership_2040_high,Blossom Hill,62,37.252451211010396,-121.79772696072882
ea,Ridership_2040_high,Broadway,5921,37.58728824070041,-122.36206316363042
ea,Ridership_2040_high,Burlingame,6324,37.579784239598354,-122.34406869702896
ea,Ridership_2040_high,California Ave,6200,37.428924920324114,-122.14130909428673
ea,Ridership_2040_high,Capitol,62,37.28400149341915,-121.84184124217718
ea,Ridership_2040_high,College Park,3255,37.34287482384451,-121.91566711874347
ea,Ridership_2040_high,Gilroy,0,37.004510163602646,-121.56675298501878
ea,Ridership_2040_high,Hayward Park,7223,37.5529445877276,-122.30942618742424
ea,Ridership_2040_high,Hillsdale,7781,37.54157217114981,-122.30068921820495
ea,Ridership_2040_high,Lawrence,4464,37.37054208586365,-121.99678611573393
ea,Ridership_2040_high,Menlo Park,7781,37.45481747441266,-122.18234505381756
ea,Ridership_2040_high,Millbrae,5890,37.60005813774365,-122.38716357110485
ea,Ridership_2040_high,Morgan Hill,0,37.12973319634205,-121.650645664784
ea,Ridership_2040_high,Mountain View,5921,37.39445754646227,-122.07593286878692
ea,Ridership_2040_high,Palo Alto,8091,37.44319218110702,-122.16441235036379
ea,Ridership_2040_high,Redwood City,8153,37.48575969310709,-122.23136195740514
ea,Ridership_2040_high,San Antonio,5735,37.407509282199506,-122.10751724793137
ea,Ridership_2040_high,San Bruno,5177,37.630742889729746,-122.41180196248293
ea,Ridership_2040_high,San Carlos,7719,37.50812619416385,-122.26029797578131
ea,Ridership_2040_high,San Jose Diridon,3255,37.32973433784033,-121.90337965869688
ea,Ridership_2040_high,San Martin,0,37.08595316953493,-121.61044251655308
ea,Ridership_2040_high,San Mateo,6882,37.5681603459612,-122.32391967532075
ea,Ridership_2040_high,Santa Clara,3937,37.353207282614996,-121.93549376712492
ea,Ridership_2040_high,South San Francisco,4805,37.65434311314393,-122.40632367452082
ea,Ridership_2040_high,Sunnyvale,5084,37.37884425148521,-122.03140710781794
ea,Ridership_2040_high,Tamien,930,37.31274326682811,-121.88475697613043
ea,Ridership_2040_high,Transbay,2139,37.789051867125714,-122.39702424974188
ea,Ridership_2040_moderate,22nd St,3906,37.757576360740146,-122.39241209707016
ea,Ridership_2040_moderate,4th and King,3503,37.77673761681249,-122.39494716886722
ea,Ridership_2040_moderate,Atherton,7316,37.46447556254199,-122.19767440578178
ea,Ridership_2040_moderate,Bayshore,4340,37.707716194010786,-122.40181692100869
ea,Ridership_2040_moderate,Belmont,7347,37.52120335901958,-122.27624353516848
ea,Ridership_2040_moderate,Blossom Hill,62,37.252451211010396,-121.79772696072882
ea,Ridership_2040_moderate,Broadway,5487,37.58728824070041,-122.36206316363042
ea,Ridership_2040_moderate,Burlingame,5859,37.579784239598354,-122.34406869702896
ea,Ridership_2040_moderate,California Ave,6014,37.428924920324114,-122.14130909428673
ea,Ridership_2040_moderate,Capitol,62,37.28400149341915,-121.84184124217718
ea,Ridership_2040_moderate,College Park,2542,37.34287482384451,-121.91566711874347
ea,Ridership_2040_moderate,Gilroy,0,37.004510163602646,-121.56675298501878
ea,Ridership_2040_moderate,Hayward Park,6851,37.5529445877276,-122.30942618742424
ea,Ridership_2040_moderate,Hillsdale,7502,37.54157217114981,-122.30068921820495
ea,Ridership_2040_moderate,Lawrence,3813,37.37054208586365,-121.99678611573393
ea,Ridership_2040_moderate,Menlo Park,7626,37.45481747441266,-122.18234505381756
ea,Ridership_2040_moderate,Millbrae,5487,37.60005813774365,-122.38716357110485
ea,Ridership_2040_moderate,Morgan Hill,0,37.12973319634205,-121.650645664784
ea,Ridership_2040_moderate,Mountain View,5239,37.39445754646227,-122.07593286878692
ea,Ridership_2040_moderate,Palo Alto,7967,37.44319218110702,-122.16441235036379
ea,Ridership_2040_moderate,Redwood City,7967,37.48575969310709,-122.23136195740514
ea,Ridership_2040_moderate,San Antonio,5456,37.407509282199506,-122.10751724793137
ea,Ridership_2040_moderate,San Bruno,4898,37.630742889729746,-122.41180196248293
ea,Ridership_2040_moderate,San Carlos,7471,37.50812619416385,-122.26029797578131
ea,Ridership_2040_moderate,San Jose Diridon,2542,37.32973433784033,-121.90337965869688
ea,Ridership_2040_moderate,San Martin,0,37.08595316953493,-121.61044251655308
ea,Ridership_2040_moderate,San Mateo,6324,37.5681603459612,-122.32391967532075
ea,Ridership_2040_moderate,Santa Clara,3224,37.353207282614996,-121.93549376712492
ea,Ridership_2040_moderate,South San Francisco,4588,37.65434311314393,-122.40632367452082
ea,Ridership_2040_moderate,Sunnyvale,4464,37.37884425148521,-122.03140710781794
ea,Ridership_2040_moderate,Tamien,279,37.31274326682811,-121.88475697613043
ea,Ridership_2040_moderate,Transbay,2139,37.789051867125714,-122.39702424974188
ev,Ridership_2017_observed,22nd St,47275,37.757576360740146,-122.39241209707016
ev,Ridership_2017_observed,4th and King,45787,37.77673761681249,-122.39494716886722
ev,Ridership_2017_observed,Atherton,39556,37.46447556254199,-122.19767440578178
ev,Ridership_2017_observed,Bayshore,47554,37.707716194010786,-122.40181692100869
ev,Ridership_2017_observed,Belmont,46283,37.52120335901958,-122.27624353516848
ev,Ridership_2017_observed,Blossom Hill,0,37.252451211010396,-121.79772696072882
ev,Ridership_2017_observed,Broadway,53010,37.58728824070041,-122.36206316363042
ev,Ridership_2017_observed,Burlingame,53134,37.579784239598354,-122.34406869702896
ev,Ridership_2017_observed,California Ave,35216,37.428924920324114,-122.14130909428673
ev,Ridership_2017_observed,Capitol,0,37.28400149341915,-121.84184124217718
ev,Ridership_2017_observed,College Park,10726,37.34287482384451,-121.91566711874347
ev,Ridership_2017_observed,Gilroy,0,37.004510163602646,-121.56675298501878
ev,Ridership_2017_observed,Hayward Park,50809,37.5529445877276,-122.30942618742424
ev,Ridership_2017_observed,Hillsdale,51553,37.54157217114981,-122.30068921820495
ev,Ridership_2017_observed,Lawrence,14973,37.37054208586365,-121.99678611573393
ev,Ridership_2017_observed,Menlo Park,40393,37.45481747441266,-122.18234505381756
ev,Ridership_2017_observed,Millbrae,53692,37.60005813774365,-122.38716357110485
ev,Ridership_2017_observed,Morgan Hill,0,37.12973319634205,-121.650645664784
ev,Ridership_2017_observed,Mountain View,31031,37.39445754646227,-122.07593286878692
ev,Ridership_2017_observed,Palo Alto,41199,37.44319218110702,-122.16441235036379
ev,Ridership_2017_observed,Redwood City,46376,37.48575969310709,-122.23136195740514
ev,Ridership_2017_observed,San Antonio,33077,37.407509282199506,-122.10751724793137
ev,Ridership_2017_observed,San Bruno,48391,37.630742889729746,-122.41180196248293
ev,Ridership_2017_observed,San Carlos,45384,37.50812619416385,-122.26029797578131
ev,Ridership_2017_observed,San Jose Diridon,10726,37.32973433784033,-121.90337965869688
ev,Ridership_2017_observed,San Martin,0,37.08595316953493,-121.61044251655308
ev,Ridership_2017_observed,San Mateo,52979,37.5681603459612,-122.32391967532075
ev,Ridership_2017_observed,Santa Clara,13175,37.353207282614996,-121.93549376712492
ev,Ridership_2017_observed,South San Francisco,48422,37.65434311314393,-122.40632367452082
ev,Ridership_2017_observed,Sunnyvale,24521,37.37884425148521,-122.03140710781794
ev,Ridership_2017_observed,Tamien,1984,37.31274326682811,-121.88475697613043
ev,Ridership_2017_observed,Transbay,0,37.789051867125714,-122.39702424974188
ev,Ridership_2040_HSR2,22nd St,137516,37.757576360740146,-122.39241209707016
ev,Ridership_2040_HSR2,4th and King,126077,37.77673761681249,-122.39494716886722
ev,Ridership_2040_HSR2,Atherton,93465,37.46447556254199,-122.19767440578178
ev,Ridership_2040_HSR2,Bayshore,135191,37.707716194010786,-122.40181692100869
ev,Ridership_2040_HSR2,Belmont,104098,37.52120335901958,-122.27624353516848
ev,Ridership_2040_HSR2,Blossom Hill,0,37.252451211010396,-121.79772696072882
ev,Ridership_2040_HSR2,Broadway,126604,37.58728824070041,-122.36206316363042
ev,Ridership_2040_HSR2,Burlingame,124775,37.579784239598354,-122.34406869702896
ev,Ridership_2040_HSR2,California Ave,81158,37.428924920324114,-122.14130909428673
ev,Ridership_2040_HSR2,Capitol,0,37.28400149341915,-121.84184124217718
ev,Ridership_2040_HSR2,College Park,30504,37.34287482384451,-121.91566711874347
ev,Ridership_2040_HSR2,Gilroy,0,37.004510163602646,-121.56675298501878
ev,Ridership_2040_HSR2,Hayward Park,117800,37.5529445877276,-122.30942618742424
ev,Ridership_2040_HSR2,Hillsdale,118048,37.54157217114981,-122.30068921820495
ev,Ridership_2040_HSR2,Lawrence,42749,37.37054208586365,-121.99678611573393
ev,Ridership_2040_HSR2,Menlo Park,93031,37.45481747441266,-122.18234505381756
ev,Ridership_2040_HSR2,Millbrae,133703,37.60005813774365,-122.38716357110485
ev,Ridership_2040_HSR2,Morgan Hill,0,37.12973319634205,-121.650645664784
ev,Ridership_2040_HSR2,Mountain View,75175,37.39445754646227,-122.07593286878692
ev,Ridership_2040_HSR2,Palo Alto,101401,37.44319218110702,-122.16441235036379
ev,Ridership_2040_HSR2,Redwood City,105214,37.48575969310709,-122.23136195740514
ev,Ridership_2040_HSR2,San Antonio,76942,37.407509282199506,-122.10751724793137
ev,Ridership_2040_HSR2,San Bruno,127162,37.630742889729746,-122.41180196248293
ev,Ridership_2040_HSR2,San Carlos,102455,37.50812619416385,-122.26029797578131
ev,Ridership_2040_HSR2,San Jose Diridon,31031,37.32973433784033,-121.90337965869688
ev,Ridership_2040_HSR2,San Martin,0,37.08595316953493,-121.61044251655308
ev,Ridership_2040_HSR2,San Mateo,124527,37.5681603459612,-122.32391967532075
ev,Ridership_2040_HSR2,Santa Clara,33294,37.353207282614996,-121.93549376712492
ev,Ridership_2040_HSR2,South San Francisco,130913,37.65434311314393,-122.40632367452082
ev,Ridership_2040_HSR2,Sunnyvale,57877,37.37884425148521,-122.03140710781794
ev,Ridership_2040_HSR2,Tamien,7006,37.31274326682811,-121.88475697613043
ev,Ridership_2040_HSR2,Transbay,65410,37.789051867125714,-122.39702424974188
ev,Ridership_2040_high,22nd St,234732,37.757576360740146,-122.39241209707016
ev,Ridership_2040_high,4th and King,222146,37.77673761681249,-122.39494716886722
ev,Ridership_2040_high,Atherton,174313,37.46447556254199,-122.19767440578178
ev,Ridership_2040_high,Bayshore,219573,37.707716194010786,-122.40181692100869
ev,Ridership_2040_high,Belmont,185442,37.52120335901958,-122.27624353516848
ev,Ridership_2040_high,Blossom Hill,16771,37.252451211010396,-121.79772696072882
ev,Ridership_2040_high,Broadway,202213,37.58728824070041,-122.36206316363042
ev,Ridership_2040_high,Burlingame,201252,37.579784239598354,-122.34406869702896
ev,Ridership_2040_high,California Ave,137516,37.428924920324114,-122.14130909428673
ev,Ridership_2040_high,Capitol,24366,37.28400149341915,-121.84184124217718
ev,Ridership_2040_high,College Park,68913,37.34287482384451,-121.91566711874347
ev,Ridership_2040_high,Gilroy,3813,37.004510163602646,-121.56675298501878
ev,Ridership_2040_high,Hayward Park,198338,37.5529445877276,-122.30942618742424
ev,Ridership_2040_high,Hillsdale,203174,37.54157217114981,-122.30068921820495
ev,Ridership_2040_high,Lawrence,79763,37.37054208586365,-121.99678611573393
ev,Ridership_2040_high,Menlo Park,174995,37.45481747441266,-122.18234505381756
ev,Ridership_2040_high,Millbrae,213931,37.60005813774365,-122.38716357110485
ev,Ridership_2040_high,Morgan Hill,8091,37.12973319634205,-121.650645664784
ev,Ridership_2040_high,Mountain View,131657,37.39445754646227,-122.07593286878692
ev,Ridership_2040_high,Palo Alto,184946,37.44319218110702,-122.16441235036379
ev,Ridership_2040_high,Redwood City,192851,37.48575969310709,-122.23136195740514
ev,Ridership_2040_high,San Antonio,131967,37.407509282199506,-122.10751724793137
ev,Ridership_2040_high,San Bruno,206429,37.630742889729746,-122.41180196248293
ev,Ridership_2040_high,San Carlos,186031,37.50812619416385,-122.26029797578131
ev,Ridership_2040_high,San Jose Diridon,70897,37.32973433784033,-121.90337965869688
ev,Ridership_2040_high,San Martin,3813,37.08595316953493,-121.61044251655308
ev,Ridership_2040_high,San Mateo,201469,37.5681603459612,-122.32391967532075
