departure_hour,Scenario,Station_Name,Hourly_Ridership,Riders_per_train,lat,lon
5,Ridership_2040_HSR2,Palo Alto,73.5,7.35,37.44319218110702,-122.16441235036379
5,Ridership_2040_HSR2,Redwood City,86.5,8.65,37.48575969310709,-122.23136195740514
5,Ridership_2040_HSR2,San Antonio,40.0,4.0,37.407509282199506,-122.10751724793137
5,Ridership_2040_HSR2,San Bruno,51.0,5.1,37.630742889729746,-122.41180196248293
5,Ridership_2040_HSR2,San Carlos,80.5,8.05,37.50812619416385,-122.26029797578131
5,Ridership_2040_HSR2,San Jose Diridon,15.0,1.5,37.32973433784033,-121.90337965869688
5,Ridership_2040_HSR2,San Mateo,71.0,7.1,37.5681603459612,-122.32391967532075
5,Ridership_2040_HSR2,Santa Clara,17.0,1.7,37.353207282614996,-121.93549376712492
5,Ridership_2040_HSR2,South San Francisco,46.0,4.6,37.65434311314393,-122.40632367452082
5,Ridership_2040_HSR2,Sunnyvale,30.5,3.05,37.37884425148521,-122.03140710781794
5,Ridership_2040_HSR2,Tamien,2.0,0.3333333333333333,37.31274326682811,-121.88475697613043
5,Ridership_2040_HSR2,Transbay,20.0,2.0,37.789051867125714,-122.39702424974188
5,Ridership_2040_high,22nd St,66.5,5.541666666666667,37.757576360740146,-122.39241209707016
5,Ridership_2040_high,4th and King,58.0,4.833333333333333,37.77673761681249,-122.39494716886722
5,Ridership_2040_high,Atherton,113.0,11.3,37.46447556254199,-122.19767440578178
5,Ridership_2040_high,Bayshore,72.0,6.0,37.707716194010786,-122.40181692100869
5,Ridership_2040_high,Belmont,117.0,11.7,37.52120335901958,-122.27624353516848
5,Ridership_2040_high,Blossom Hill,1.0,0.2,37.252451211010396,-121.79772696072882
5,Ridership_2040_high,Broadway,89.5,8.136363636363637,37.58728824070041,-122.36206316363042
5,Ridership_2040_high,Burlingame,96.0,8.727272727272727,37.579784239598354,-122.34406869702896
5,Ridership_2040_high,California Ave,90.5,9.05,37.428924920324114,-122.14130909428673
