Origin_ID,Origin_Name,Dest_ID,Dest_Name,Ridership_2017_observed,Ridership_2022_diesel,Ridership_2022_PCEP,Ridership_2029_PCEP_noTransbay,Ridership_2029_PCEP,Ridership_2029_HSR1,Ridership_2033_HSR1,Ridership_2033_HSR2,Ridership_2040_HSR2,Ridership_2040_moderate,Ridership_2040_high
37,San Martin,4,22nd St,0,1,0,0,0,0,0,0,0,0,0
38,Gilroy,4,22nd St,0,4,0,0,0,0,0,0,0,8,18
1,Transbay,7,Bayshore,0,0,0,0,5,12,13,8,10,18,20
2,4th and King,7,Bayshore,26,2,6,12,12,20,24,24,33,28,27
4,22nd St,7,Bayshore,0,0,0,0,1,0,0,0,0,7,8
7,Bayshore,7,Bayshore,0,0,0,0,0,0,0,0,0,0,0
8,South San Francisco,7,Bayshore,0,0,0,0,0,0,0,0,0,0,0
9,San Bruno,7,Bayshore,0,0,0,0,0,0,0,0,0,2,2
10,Millbrae,7,Bayshore,0,0,0,0,0,23,31,58,81,0,0
11,Broadway,7,Bayshore,0,0,0,0,0,8,10,10,12,0,0
12,Burlingame,7,Bayshore,0,2,6,11,11,0,0,0,0,1,0
13,San Mateo,7,Bayshore,0,5,12,20,21,0,0,0,0,10,21
14,Hayward Park,7,Bayshore,0,4,8,13,14,18,22,22,29,3,8
15,Hillsdale,7,Bayshore,2,7,16,27,27,29,33,33,40,27,12
16,Belmont,7,Bayshore,0,6,0,0,0,0,0,0,0,4,8
17,San Carlos,7,Bayshore,0,6,0,0,0,22,25,25,27,3,6
18,Redwood City,7,Bayshore,2,11,21,36,36,38,45,45,56,34,33
20,Atherton,7,Bayshore,0,0,0,0,0,0,0,0,0,4,5
21,Menlo Park,7,Bayshore,0,5,17,28,31,0,0,0,0,0,0
22,Palo Alto,7,Bayshore,4,0,37,52,50,99,86,86,77,121,110
24,California Ave,7,Bayshore,0,11,0,0,0,0,0,0,0,22,22
25,San Antonio,7,Bayshore,0,0,0,0,0,53,59,59,69,0,0
26,Mountain View,7,Bayshore,0,28,48,65,63,69,76,76,87,135,130
27,Sunnyvale,7,Bayshore,0,40,73,93,85,96,103,103,122,169,161
28,Lawrence,7,Bayshore,0,5,30,46,48,56,63,63,75,0,0
30,Santa Clara,7,Bayshore,0,14,0,0,0,0,0,0,0,22,22
31,College Park,7,Bayshore,2,0,0,0,0,0,0,0,0,0,0
32,San Jose Diridon,7,Bayshore,1,28,55,73,71,78,89,89,105,152,155
33,Tamien,7,Bayshore,2,8,19,27,21,24,28,28,37,75,83
34,Capitol,7,Bayshore,1,1,0,0,0,13,14,14,17,30,36
35,Blossom Hill,7,Bayshore,0,2,0,0,0,1,1,1,4,39,47
36,Morgan Hill,7,Bayshore,0,2,0,0,0,5,5,5,9,0,0
37,San Martin,7,Bayshore,0,0,0,0,0,0,0,0,0,0,0
38,Gilroy,7,Bayshore,0,3,0,0,0,10,11,11,16,10,13
1,Transbay,8,South San Francisco,0,0,0,0,55,85,97,93,126,339,340
2,4th and King,8,South San Francisco,40,99,112,196,206,179,202,202,256,409,392
4,22nd St,8,South San Francisco,1,31,51,71,78,89,110,110,150,212,233
