km,From:,REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR
88,BELMONT,5:49  ,|      ,6:04  ,  ,|      ,↴      ,|      ,6:19  ,  ,|      ,↴      ,|      ,6:34  ,  ,|      ,  ,|      ,↴      ,|      ,6:49  ,  ,|      ,  ,|      ,↴      ,|      ,  ,7:04  ,  ,|      ,  ,|      ,↴      ,|      ,  ,7:19  ,  ,|      ,  ,|      ,↴      ,|      ,  ,7:34  ,  ,|      ,  ,|      ,↴      ,|      ,7:49  ,  ,|      ,  ,|      ,↴      ,|      ,  ,8:04  ,  ,|      ,  ,|      ,↴      ,|      ,  ,8:19  ,  ,|      ,  ,|      ,↴      ,|      ,  ,8:34  ,  ,|      ,  ,|      ,↴      ,|      ,8:49  ,  ,|      ,  ,|      ,↴      ,|      ,  ,9:04  ,  ,|      ,  ,|      ,↴      ,|      ,  ,9:19  ,  ,|      ,  ,|      ,↴      ,|      ,  ,9:34  ,  ,|      ,  ,|      ,↴      ,|      ,9:49  ,  ,|      ,  ,|      ,↴      ,|      ,  ,10:04  ,  ,|      ,  ,|      ,↴      ,|      ,  ,10:19  ,  ,|      ,  ,|      ,↴      ,|      ,  ,10:34  ,  ,|      ,  ,|      ,↴      ,|      ,10:49  ,  ,|      ,  ,  ,|      ,11:04  ,  ,|      ,  ,↴      ,|      ,  ,|      ,  ,↴      ,|      ,  ,|      ,|      ,11:49  ,  ,|      ,  ,|      ,12:04  ,  ,|      ,  ,↴      ,|      ,↴      ,|      ,  ,  ,|      ,|      ,12:49  ,  ,|      ,  ,|      ,13:04  ,  ,|      ,  ,↴      ,|      ,↴      ,|      ,  ,  ,|      ,|      ,13:49  ,  ,|      ,  ,|      ,14:04  ,  ,|      ,  ,↴      ,|      ,↴      ,|      ,  ,  ,|      ,|      ,14:49  ,  ,|      ,  ,|      ,15:04  ,  ,|      ,  ,↴      ,|      ,↴      ,|      ,  ,  ,|      ,|      ,15:49  ,  ,|      ,|      ,↴      ,|      ,  ,16:04  ,  ,|      ,  ,|      ,↴      ,|      ,  ,16:19  ,  ,|      ,↴      ,|      ,  
91,HILLSDALE,5:53  ,5:58  ,↳     ,  ,6:04  ,6:08  ,6:13  ,↳     ,  ,6:19  ,6:23  ,6:28  ,↳     ,  ,|      ,  ,6:34  ,6:38  ,6:43  ,↳     ,  ,|      ,  ,6:49  ,6:53  ,6:58  ,  ,↳     ,  ,|      ,  ,7:04  ,7:08  ,7:13  ,  ,↳     ,  ,|      ,  ,7:19  ,7:23  ,7:28  ,  ,↳     ,  ,|      ,  ,7:34  ,7:38  ,7:43  ,↳     ,  ,|      ,  ,7:49  ,7:53  ,7:58  ,  ,↳     ,  ,|      ,  ,8:04  ,8:08  ,8:13  ,  ,↳     ,  ,|      ,  ,8:19  ,8:23  ,8:28  ,  ,↳     ,  ,|      ,  ,8:34  ,8:38  ,8:43  ,↳     ,  ,|      ,  ,8:49  ,8:53  ,8:58  ,  ,↳     ,  ,|      ,  ,9:04  ,9:08  ,9:13  ,  ,↳     ,  ,|      ,  ,9:19  ,9:23  ,9:28  ,  ,↳     ,  ,|      ,  ,9:34  ,9:38  ,9:43  ,↳     ,  ,|      ,  ,9:49  ,9:53  ,9:58  ,  ,↳     ,  ,|      ,  ,10:04  ,10:08  ,10:13  ,  ,↳     ,  ,|      ,  ,10:19  ,10:23  ,10:28  ,  ,↳     ,  ,|      ,  ,10:34  ,10:38  ,10:43  ,↳     ,  ,|      ,  ,  ,10:49  ,↳     ,  ,|      ,  ,10:53  ,11:04  ,  ,|      ,  ,11:08  ,11:19  ,  ,|      ,11:34  ,↳     ,  ,|      ,  ,11:49  ,↳     ,  ,|      ,  ,11:53  ,12:04  ,12:08  ,12:19  ,  ,  ,|      ,12:34  ,↳     ,  ,|      ,  ,12:49  ,↳     ,  ,|      ,  ,12:53  ,13:04  ,13:08  ,13:19  ,  ,  ,|      ,13:34  ,↳     ,  ,|      ,  ,13:49  ,↳     ,  ,|      ,  ,13:53  ,14:04  ,14:08  ,14:19  ,  ,  ,|      ,14:34  ,↳     ,  ,|      ,  ,14:49  ,↳     ,  ,|      ,  ,14:53  ,15:04  ,15:08  ,15:19  ,  ,  ,|      ,15:34  ,↳     ,  ,|      ,15:49  ,15:53  ,15:58  ,  ,↳     ,  ,|      ,  ,16:04  ,16:08  ,16:13  ,  ,↳     ,  ,16:19  ,16:23  ,16:28  ,  
93,HAYWARD PARK,5:56  ,6:00  ,  ,  ,|      ,6:11  ,6:15  ,  ,  ,|      ,6:26  ,6:30  ,  ,  ,|      ,  ,|      ,6:41  ,6:45  ,  ,  ,|      ,  ,|      ,6:56  ,7:00  ,  ,  ,  ,|      ,  ,|      ,7:11  ,7:15  ,  ,  ,  ,|      ,  ,|      ,7:26  ,7:30  ,  ,  ,  ,|      ,  ,|      ,7:41  ,7:45  ,  ,  ,|      ,  ,|      ,7:56  ,8:00  ,  ,  ,  ,|      ,  ,|      ,8:11  ,8:15  ,  ,  ,  ,|      ,  ,|      ,8:26  ,8:30  ,  ,  ,  ,|      ,  ,|      ,8:41  ,8:45  ,  ,  ,|      ,  ,|      ,8:56  ,9:00  ,  ,  ,  ,|      ,  ,|      ,9:11  ,9:15  ,  ,  ,  ,|      ,  ,|      ,9:26  ,9:30  ,  ,  ,  ,|      ,  ,|      ,9:41  ,9:45  ,  ,  ,|      ,  ,|      ,9:56  ,10:00  ,  ,  ,  ,|      ,  ,|      ,10:11  ,10:15  ,  ,  ,  ,|      ,  ,|      ,10:26  ,10:30  ,  ,  ,  ,|      ,  ,|      ,10:41  ,10:45  ,  ,  ,|      ,  ,  ,|      ,  ,  ,|      ,  ,10:56  ,|      ,  ,|      ,  ,11:11  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,11:56  ,|      ,12:11  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,12:56  ,|      ,13:11  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,13:56  ,|      ,14:11  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,14:56  ,|      ,15:11  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,|      ,15:56  ,16:00  ,  ,  ,  ,|      ,  ,|      ,16:11  ,16:15  ,  ,  ,  ,|      ,16:26  ,16:30  ,  
95,SAN MATEO,5:58  ,6:03  ,  ,  ,|      ,6:13  ,6:18  ,  ,  ,|      ,6:28  ,6:33  ,  ,  ,|      ,  ,|      ,6:43  ,6:48  ,  ,  ,|      ,  ,|      ,6:58  ,7:03  ,  ,  ,  ,|      ,  ,|      ,7:13  ,7:18  ,  ,  ,  ,|      ,  ,|      ,7:28  ,7:33  ,  ,  ,  ,|      ,  ,|      ,7:43  ,7:48  ,  ,  ,|      ,  ,|      ,7:58  ,8:03  ,  ,  ,  ,|      ,  ,|      ,8:13  ,8:18  ,  ,  ,  ,|      ,  ,|      ,8:28  ,8:33  ,  ,  ,  ,|      ,  ,|      ,8:43  ,8:48  ,  ,  ,|      ,  ,|      ,8:58  ,9:03  ,  ,  ,  ,|      ,  ,|      ,9:13  ,9:18  ,  ,  ,  ,|      ,  ,|      ,9:28  ,9:33  ,  ,  ,  ,|      ,  ,|      ,9:43  ,9:48  ,  ,  ,|      ,  ,|      ,9:58  ,10:03  ,  ,  ,  ,|      ,  ,|      ,10:13  ,10:18  ,  ,  ,  ,|      ,  ,|      ,10:28  ,10:33  ,  ,  ,  ,|      ,  ,|      ,10:43  ,10:48  ,  ,  ,|      ,  ,  ,|      ,  ,  ,|      ,  ,10:58  ,|      ,  ,|      ,  ,11:13  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,11:58  ,|      ,12:13  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,12:58  ,|      ,13:13  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,13:58  ,|      ,14:13  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,14:58  ,|      ,15:13  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,|      ,15:58  ,16:03  ,  ,  ,  ,|      ,  ,|      ,16:13  ,16:18  ,  ,  ,  ,|      ,16:28  ,16:33  ,  
97,BURLINGAME,6:01  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,6:31  ,|      ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,7:01  ,|      ,  ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,7:31  ,|      ,  ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,8:01  ,|      ,  ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,8:31  ,|      ,  ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,9:01  ,|      ,  ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,9:31  ,|      ,  ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,10:01  ,|      ,  ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,10:31  ,|      ,  ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,  ,  ,|      ,  ,11:01  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,12:01  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,13:01  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,14:01  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,15:01  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,|      ,16:01  ,|      ,  ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,16:31  ,|      ,  
99,BROADWAY,|      ,|      ,  ,  ,|      ,6:17  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,6:47  ,|      ,  ,  ,|      ,↴      ,|      ,|      ,|      ,  ,  ,  ,|      ,↴      ,|      ,7:17  ,|      ,  ,  ,  ,|      ,↴      ,|      ,|      ,|      ,  ,  ,  ,|      ,↴      ,|      ,7:47  ,|      ,  ,  ,|      ,↴      ,|      ,|      ,|      ,  ,  ,  ,|      ,↴      ,|      ,8:17  ,|      ,  ,  ,  ,|      ,↴      ,|      ,|      ,|      ,  ,  ,  ,|      ,↴      ,|      ,8:47  ,|      ,  ,  ,|      ,↴      ,|      ,|      ,|      ,  ,  ,  ,|      ,↴      ,|      ,9:17  ,|      ,  ,  ,  ,|      ,↴      ,|      ,|      ,|      ,  ,  ,  ,|      ,↴      ,|      ,9:47  ,|      ,  ,  ,|      ,↴      ,|      ,|      ,|      ,  ,  ,  ,|      ,↴      ,|      ,10:17  ,|      ,  ,  ,  ,|      ,↴      ,|      ,|      ,|      ,  ,  ,  ,|      ,↴      ,|      ,10:47  ,|      ,  ,  ,|      ,  ,↴      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,11:17  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,12:17  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,13:17  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,14:17  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,15:17  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,|      ,↴      ,|      ,16:17  ,|      ,  ,  ,  ,|      ,|      ,|      ,  
101,MILLBRAE,6:05  ,|      ,  ,  ,6:11  ,6:20  ,|      ,  ,  ,6:26  ,↳     ,|      ,  ,  ,6:30  ,6:35  ,6:41  ,↳     ,|      ,  ,  ,6:45  ,6:50  ,6:56  ,↳     ,|      ,  ,  ,  ,7:00  ,7:05  ,7:11  ,↳     ,|      ,  ,  ,  ,7:15  ,7:20  ,7:26  ,↳     ,|      ,  ,  ,  ,7:30  ,7:35  ,7:41  ,↳     ,|      ,  ,  ,7:45  ,7:50  ,7:56  ,↳     ,|      ,  ,  ,  ,8:00  ,8:05  ,8:11  ,↳     ,|      ,  ,  ,  ,8:15  ,8:20  ,8:26  ,↳     ,|      ,  ,  ,  ,8:30  ,8:35  ,8:41  ,↳     ,|      ,  ,  ,8:45  ,8:50  ,8:56  ,↳     ,|      ,  ,  ,  ,9:00  ,9:05  ,9:11  ,↳     ,|      ,  ,  ,  ,9:15  ,9:20  ,9:26  ,↳     ,|      ,  ,  ,  ,9:30  ,9:35  ,9:41  ,↳     ,|      ,  ,  ,9:45  ,9:50  ,9:56  ,↳     ,|      ,  ,  ,  ,10:00  ,10:05  ,10:11  ,↳     ,|      ,  ,  ,  ,10:15  ,10:20  ,10:26  ,↳     ,|      ,  ,  ,  ,10:30  ,10:35  ,10:41  ,↳     ,|      ,  ,  ,10:45  ,  ,10:50  ,10:56  ,  ,  ,11:00  ,  ,11:05  ,11:11  ,  ,11:15  ,  ,11:20  ,11:26  ,  ,11:30  ,11:41  ,  ,  ,11:45  ,  ,11:56  ,  ,  ,12:00  ,  ,12:05  ,12:11  ,12:20  ,12:26  ,  ,  ,12:30  ,12:41  ,  ,  ,12:45  ,  ,12:56  ,  ,  ,13:00  ,  ,13:05  ,13:11  ,13:20  ,13:26  ,  ,  ,13:30  ,13:41  ,  ,  ,13:45  ,  ,13:56  ,  ,  ,14:00  ,  ,14:05  ,14:11  ,14:20  ,14:26  ,  ,  ,14:30  ,14:41  ,  ,  ,14:45  ,  ,14:56  ,  ,  ,15:00  ,  ,15:05  ,15:11  ,15:20  ,15:26  ,  ,  ,15:30  ,15:41  ,  ,  ,15:45  ,15:56  ,↳     ,|      ,  ,  ,  ,16:00  ,16:05  ,16:11  ,16:20  ,|      ,  ,  ,  ,16:26  ,↳     ,|      ,  
106,SAN BRUNO,6:09  ,|      ,  ,  ,|      ,6:23  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,6:39  ,|      ,  ,|      ,  ,  ,|      ,6:53  ,|      ,  ,|      ,  ,  ,  ,|      ,7:09  ,|      ,  ,|      ,  ,  ,  ,|      ,7:23  ,|      ,  ,|      ,  ,  ,  ,|      ,7:39  ,|      ,  ,|      ,  ,  ,|      ,7:53  ,|      ,  ,|      ,  ,  ,  ,|      ,8:09  ,|      ,  ,|      ,  ,  ,  ,|      ,8:23  ,|      ,  ,|      ,  ,  ,  ,|      ,8:39  ,|      ,  ,|      ,  ,  ,|      ,8:53  ,|      ,  ,|      ,  ,  ,  ,|      ,9:09  ,|      ,  ,|      ,  ,  ,  ,|      ,9:23  ,|      ,  ,|      ,  ,  ,  ,|      ,9:39  ,|      ,  ,|      ,  ,  ,|      ,9:53  ,|      ,  ,|      ,  ,  ,  ,|      ,10:09  ,|      ,  ,|      ,  ,  ,  ,|      ,10:23  ,|      ,  ,|      ,  ,  ,  ,|      ,10:39  ,|      ,  ,|      ,  ,  ,|      ,  ,10:53  ,|      ,  ,  ,|      ,  ,11:09  ,|      ,  ,|      ,  ,11:23  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,12:09  ,|      ,12:23  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,13:09  ,|      ,13:23  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,14:09  ,|      ,14:23  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,15:09  ,|      ,15:23  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,  ,|      ,16:09  ,|      ,16:23  ,|      ,  ,  ,  ,|      ,  ,|      ,  
109,SOUTH SAN FRANCISCO ,6:12  ,|      ,  ,  ,6:16  ,6:27  ,|      ,  ,  ,6:31  ,  ,|      ,  ,  ,|      ,6:42  ,6:46  ,  ,|      ,  ,  ,|      ,6:57  ,7:01  ,  ,|      ,  ,  ,  ,|      ,7:12  ,7:16  ,  ,|      ,  ,  ,  ,|      ,7:27  ,7:31  ,  ,|      ,  ,  ,  ,|      ,7:42  ,7:46  ,  ,|      ,  ,  ,|      ,7:57  ,8:01  ,  ,|      ,  ,  ,  ,|      ,8:12  ,8:16  ,  ,|      ,  ,  ,  ,|      ,8:27  ,8:31  ,  ,|      ,  ,  ,  ,|      ,8:42  ,8:46  ,  ,|      ,  ,  ,|      ,8:57  ,9:01  ,  ,|      ,  ,  ,  ,|      ,9:12  ,9:16  ,  ,|      ,  ,  ,  ,|      ,9:27  ,9:31  ,  ,|      ,  ,  ,  ,|      ,9:42  ,9:46  ,  ,|      ,  ,  ,|      ,9:57  ,10:01  ,  ,|      ,  ,  ,  ,|      ,10:12  ,10:16  ,  ,|      ,  ,  ,  ,|      ,10:27  ,10:31  ,  ,|      ,  ,  ,  ,|      ,10:42  ,10:46  ,  ,|      ,  ,  ,|      ,  ,10:57  ,11:01  ,  ,  ,|      ,  ,11:12  ,11:16  ,  ,|      ,  ,11:27  ,11:31  ,  ,|      ,11:46  ,  ,  ,|      ,  ,12:01  ,  ,  ,|      ,  ,12:12  ,12:16  ,12:27  ,12:31  ,  ,  ,|      ,12:46  ,  ,  ,|      ,  ,13:01  ,  ,  ,|      ,  ,13:12  ,13:16  ,13:27  ,13:31  ,  ,  ,|      ,13:46  ,  ,  ,|      ,  ,14:01  ,  ,  ,|      ,  ,14:12  ,14:16  ,14:27  ,14:31  ,  ,  ,|      ,14:46  ,  ,  ,|      ,  ,15:01  ,  ,  ,|      ,  ,15:12  ,15:16  ,15:27  ,15:31  ,  ,  ,|      ,15:46  ,  ,  ,|      ,16:01  ,  ,|      ,  ,  ,  ,|      ,16:12  ,16:16  ,16:27  ,|      ,  ,  ,  ,16:31  ,  ,|      ,  
115,BAYSHORE,6:17  ,|      ,  ,↴      ,|      ,6:31  ,|      ,  ,↴      ,|      ,  ,|      ,  ,  ,|      ,6:47  ,|      ,  ,|      ,  ,  ,|      ,7:01  ,|      ,  ,|      ,  ,  ,  ,|      ,7:17  ,|      ,  ,|      ,  ,  ,  ,|      ,7:31  ,|      ,  ,|      ,  ,  ,  ,|      ,7:47  ,|      ,  ,|      ,  ,  ,|      ,8:01  ,|      ,  ,|      ,  ,  ,  ,|      ,8:17  ,|      ,  ,|      ,  ,  ,  ,|      ,8:31  ,|      ,  ,|      ,  ,  ,  ,|      ,8:47  ,|      ,  ,|      ,  ,  ,|      ,9:01  ,|      ,  ,|      ,  ,  ,  ,|      ,9:17  ,|      ,  ,|      ,  ,  ,  ,|      ,9:31  ,|      ,  ,|      ,  ,  ,  ,|      ,9:47  ,|      ,  ,|      ,  ,  ,|      ,10:01  ,|      ,  ,|      ,  ,  ,  ,|      ,10:17  ,|      ,  ,|      ,  ,  ,  ,|      ,10:31  ,|      ,  ,|      ,  ,  ,  ,|      ,10:47  ,|      ,  ,|      ,  ,  ,|      ,  ,11:01  ,|      ,  ,  ,|      ,  ,11:17  ,|      ,  ,|      ,  ,11:31  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,12:17  ,|      ,12:31  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,13:17  ,|      ,13:31  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,14:17  ,|      ,14:31  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,15:17  ,|      ,15:31  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,  ,|      ,16:17  ,|      ,16:31  ,|      ,  ,  ,↴      ,|      ,  ,|      ,  
121,22nd STREET,↳     ,6:17  ,  ,6:21  ,6:23  ,↳     ,6:32  ,  ,6:36  ,6:39  ,  ,6:47  ,  ,  ,|      ,6:51  ,6:53  ,  ,7:02  ,  ,  ,|      ,7:06  ,7:09  ,  ,7:17  ,  ,  ,  ,|      ,7:21  ,7:23  ,  ,7:32  ,  ,  ,  ,|      ,7:36  ,7:39  ,  ,7:47  ,  ,  ,  ,|      ,7:51  ,7:53  ,  ,8:02  ,  ,  ,|      ,8:06  ,8:09  ,  ,8:17  ,  ,  ,  ,|      ,8:21  ,8:23  ,  ,8:32  ,  ,  ,  ,|      ,8:36  ,8:39  ,  ,8:47  ,  ,  ,  ,|      ,8:51  ,8:53  ,  ,9:02  ,  ,  ,|      ,9:06  ,9:09  ,  ,9:17  ,  ,  ,  ,|      ,9:21  ,9:23  ,  ,9:32  ,  ,  ,  ,|      ,9:36  ,9:39  ,  ,9:47  ,  ,  ,  ,|      ,9:51  ,9:53  ,  ,10:02  ,  ,  ,|      ,10:06  ,10:09  ,  ,10:17  ,  ,  ,  ,|      ,10:21  ,10:23  ,  ,10:32  ,  ,  ,  ,|      ,10:36  ,10:39  ,  ,10:47  ,  ,  ,  ,|      ,10:51  ,10:53  ,  ,11:02  ,  ,  ,|      ,  ,11:06  ,11:09  ,  ,  ,|      ,  ,11:21  ,11:23  ,  ,|      ,  ,11:36  ,11:39  ,  ,|      ,11:53  ,  ,  ,|      ,  ,12:09  ,  ,  ,|      ,  ,12:21  ,12:23  ,12:36  ,12:39  ,  ,  ,|      ,12:53  ,  ,  ,|      ,  ,13:09  ,  ,  ,|      ,  ,13:21  ,13:23  ,13:36  ,13:39  ,  ,  ,|      ,13:53  ,  ,  ,|      ,  ,14:09  ,  ,  ,|      ,  ,14:21  ,14:23  ,14:36  ,14:39  ,  ,  ,|      ,14:53  ,  ,  ,|      ,  ,15:09  ,  ,  ,|      ,  ,15:21  ,15:23  ,15:36  ,15:39  ,  ,  ,|      ,15:53  ,  ,  ,|      ,16:09  ,  ,16:17  ,  ,  ,  ,|      ,16:21  ,16:23  ,↳     ,16:32  ,  ,  ,16:36  ,16:39  ,  ,16:47  ,  
