km,From:,IC (HSR),HSR,REG (C-EXP),HSR,IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP)
65,SUNNYVALE,  ,|      ,6:13  ,|      ,  ,  ,6:17  ,|      ,|      ,  ,6:43  ,|      ,  ,  ,  ,6:47  ,|      ,|      ,  ,7:13  ,|      ,  ,  ,7:17  ,|      ,|      ,  ,7:43  ,|      ,  ,  ,  ,7:47  ,|      ,|      ,  ,8:13  ,|      ,  ,  ,8:17  ,|      ,|      ,  ,8:43  ,|      ,  ,  ,  ,8:47  ,|      ,|      ,  ,9:13  ,|      ,  ,  ,9:17  ,|      ,|      ,  ,9:43  ,|      ,  ,  ,  ,9:47  ,|      ,|      ,  ,10:13  ,|      ,  ,  ,10:17  ,|      ,|      ,  ,10:43  ,|      ,  ,10:47  ,|      ,|      ,  ,11:13  ,|      ,  ,11:17  ,|      ,|      ,12:13  ,|      ,  ,12:17  ,|      ,|      ,13:13  ,|      ,  ,13:17  ,|      ,|      ,14:13  ,|      ,  ,14:17  ,|      ,|      ,15:13  ,|      ,  ,15:17  ,|      ,|      ,16:12  ,|      ,  ,16:17  ,|      ,|      ,  ,16:42  ,|      ,  ,16:47  ,|      ,|      ,  ,17:12  ,|      ,  ,17:17  ,|      ,|      ,  ,17:42  ,|      ,  ,17:47  ,|      ,|      ,  ,18:12  ,|      ,  ,18:17  ,|      ,|      ,  ,18:42  ,|      ,  ,18:47  ,|      ,|      ,  ,19:12  ,|      ,  ,19:17  ,|      ,|      ,  ,19:42  ,|      ,  ,19:47  ,|      ,|      ,  ,20:12  ,|      ,  ,20:17  ,|      ,|      ,  ,20:42  ,|      ,  ,20:47  ,|      ,|      ,  ,21:13  ,|      ,  ,21:17  ,|      ,|      ,22:13  ,|      ,  ,22:17  ,|      ,|      ,23:13  ,|      ,  ,23:17  ,|      ,|      ,0:13  ,|      ,  ,0:17  ,|      
66,CP Hendy,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      
68,LAWRENCE,  ,|      ,6:16  ,|      ,  ,  ,|      ,6:27  ,|      ,  ,6:46  ,|      ,  ,  ,  ,|      ,6:57  ,|      ,  ,7:16  ,|      ,  ,  ,|      ,7:27  ,|      ,  ,7:46  ,|      ,  ,  ,  ,|      ,7:57  ,|      ,  ,8:16  ,|      ,  ,  ,|      ,8:27  ,|      ,  ,8:46  ,|      ,  ,  ,  ,|      ,8:57  ,|      ,  ,9:16  ,|      ,  ,  ,|      ,9:27  ,|      ,  ,9:46  ,|      ,  ,  ,  ,|      ,9:57  ,|      ,  ,10:16  ,|      ,  ,  ,|      ,10:27  ,|      ,  ,10:46  ,|      ,  ,|      ,10:57  ,|      ,  ,11:16  ,|      ,  ,|      ,11:27  ,|      ,12:16  ,|      ,  ,|      ,12:27  ,|      ,13:16  ,|      ,  ,|      ,13:27  ,|      ,14:16  ,|      ,  ,|      ,14:27  ,|      ,15:16  ,|      ,  ,|      ,15:27  ,|      ,16:15  ,|      ,  ,|      ,16:27  ,|      ,  ,16:45  ,|      ,  ,|      ,16:57  ,|      ,  ,17:15  ,|      ,  ,|      ,17:27  ,|      ,  ,17:45  ,|      ,  ,|      ,17:57  ,|      ,  ,18:15  ,|      ,  ,|      ,18:27  ,|      ,  ,18:45  ,|      ,  ,|      ,18:57  ,|      ,  ,19:15  ,|      ,  ,|      ,19:27  ,|      ,  ,19:45  ,|      ,  ,|      ,19:57  ,|      ,  ,20:15  ,|      ,  ,|      ,20:27  ,|      ,  ,20:45  ,|      ,  ,|      ,20:57  ,|      ,  ,21:16  ,|      ,  ,|      ,21:27  ,|      ,22:16  ,|      ,  ,|      ,22:27  ,|      ,23:16  ,|      ,  ,|      ,23:27  ,|      ,0:16  ,|      ,  ,|      ,0:27  
74,SANTA CLARA,  ,|      ,|      ,|      ,  ,  ,6:23  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,6:53  ,|      ,|      ,  ,|      ,|      ,  ,  ,7:23  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,7:53  ,|      ,|      ,  ,|      ,|      ,  ,  ,8:23  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,8:53  ,|      ,|      ,  ,|      ,|      ,  ,  ,9:23  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,9:53  ,|      ,|      ,  ,|      ,|      ,  ,  ,10:23  ,|      ,|      ,  ,|      ,|      ,  ,10:53  ,|      ,|      ,  ,|      ,|      ,  ,11:23  ,|      ,|      ,|      ,|      ,  ,12:23  ,|      ,|      ,|      ,|      ,  ,13:23  ,|      ,|      ,|      ,|      ,  ,14:23  ,|      ,|      ,|      ,|      ,  ,15:23  ,|      ,|      ,|      ,|      ,  ,16:23  ,|      ,|      ,  ,|      ,|      ,  ,16:53  ,|      ,|      ,  ,|      ,|      ,  ,17:23  ,|      ,|      ,  ,|      ,|      ,  ,17:53  ,|      ,|      ,  ,|      ,|      ,  ,18:23  ,|      ,|      ,  ,|      ,|      ,  ,18:53  ,|      ,|      ,  ,|      ,|      ,  ,19:23  ,|      ,|      ,  ,|      ,|      ,  ,19:53  ,|      ,|      ,  ,|      ,|      ,  ,20:23  ,|      ,|      ,  ,|      ,|      ,  ,20:53  ,|      ,|      ,  ,|      ,|      ,  ,21:23  ,|      ,|      ,|      ,|      ,  ,22:23  ,|      ,|      ,|      ,|      ,  ,23:23  ,|      ,|      ,|      ,|      ,  ,0:23  ,|      
76,COLLEGE PARK,  ,|      ,|      ,|      ,  ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,  ,  ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,  ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,  ,  ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,  ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,  ,  ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,  ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,  ,  ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,  ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,↴      ,|      ,|      ,|      ,|      ,|      ,↴      ,|      ,|      ,|      ,|      ,|      ,↴      ,|      ,|      ,|      ,|      ,|      ,↴      ,|      ,|      ,|      ,|      ,|      ,↴      ,|      ,|      ,|      ,|      ,|      ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,↴      ,|      ,|      ,|      ,↴      ,|      ,|      ,↴      ,|      ,|      ,|      ,|      ,|      ,↴      ,|      ,|      ,|      ,|      ,|      ,↴      ,|      ,|      ,|      ,|      ,|      ,↴      ,|      ,|      
78,SAN JOSE,5:48  ,6:05  ,↳     ,6:12  ,6:24  ,6:26  ,6:30  ,↳     ,6:35  ,6:38  ,↳     ,6:42  ,6:48  ,6:54  ,6:56  ,7:00  ,↳     ,7:05  ,7:08  ,↳     ,7:12  ,7:24  ,7:26  ,7:30  ,↳     ,7:35  ,7:38  ,↳     ,7:42  ,7:48  ,7:54  ,7:56  ,8:00  ,↳     ,8:05  ,8:08  ,↳     ,8:12  ,8:24  ,8:26  ,8:30  ,↳     ,8:35  ,8:38  ,↳     ,8:42  ,8:48  ,8:54  ,8:56  ,9:00  ,↳     ,9:05  ,9:08  ,↳     ,9:12  ,9:24  ,9:26  ,9:30  ,↳     ,9:35  ,9:38  ,↳     ,9:42  ,9:48  ,9:54  ,9:56  ,10:00  ,↳     ,10:05  ,10:08  ,↳     ,10:12  ,10:24  ,10:26  ,10:30  ,↳     ,10:35  ,10:38  ,↳     ,10:42  ,10:56  ,11:00  ,↳     ,11:05  ,11:08  ,↳     ,11:12  ,11:26  ,11:30  ,11:38  ,12:05  ,↳     ,12:12  ,12:26  ,12:30  ,12:38  ,13:05  ,↳     ,13:12  ,13:26  ,13:30  ,13:38  ,14:05  ,↳     ,14:12  ,14:26  ,14:30  ,14:38  ,15:05  ,↳     ,15:12  ,15:26  ,15:30  ,15:38  ,16:05  ,↳     ,16:12  ,16:26  ,16:30  ,↳     ,16:35  ,16:38  ,↳     ,16:42  ,16:56  ,17:00  ,↳     ,17:05  ,17:08  ,↳     ,17:12  ,17:26  ,17:30  ,↳     ,17:35  ,17:38  ,↳     ,17:42  ,17:56  ,18:00  ,↳     ,18:05  ,18:08  ,↳     ,18:12  ,18:26  ,18:30  ,↳     ,18:35  ,18:38  ,↳     ,18:42  ,18:56  ,19:00  ,↳     ,19:05  ,19:08  ,↳     ,19:12  ,19:26  ,19:30  ,↳     ,19:35  ,19:38  ,↳     ,19:42  ,19:56  ,20:00  ,↳     ,20:05  ,20:08  ,↳     ,20:12  ,20:26  ,20:30  ,↳     ,20:35  ,20:38  ,↳     ,20:42  ,20:56  ,21:00  ,↳     ,21:05  ,21:08  ,↳     ,21:12  ,21:26  ,21:30  ,21:38  ,22:05  ,↳     ,22:12  ,22:26  ,22:30  ,22:38  ,23:05  ,↳     ,23:12  ,23:26  ,23:30  ,23:38  ,0:05  ,↳     ,0:12  ,0:26  ,0:30  ,0:38  
81,TAMIEN (HSR) $,|      ,|      ,  ,|      ,|      ,o 6:29  ,o 6:33  ,  ,|      ,o 6:41  ,  ,|      ,|      ,|      ,o 6:59  ,o 7:03  ,  ,|      ,o 7:11  ,  ,|      ,|      ,o 7:29  ,o 7:33  ,  ,|      ,o 7:41  ,  ,|      ,|      ,|      ,o 7:59  ,o 8:03  ,  ,|      ,o 8:11  ,  ,|      ,|      ,o 8:29  ,o 8:33  ,  ,|      ,o 8:41  ,  ,|      ,|      ,|      ,o 8:59  ,o 9:03  ,  ,|      ,o 9:11  ,  ,|      ,|      ,o 9:29  ,o 9:33  ,  ,|      ,o 9:41  ,  ,|      ,|      ,|      ,o 9:59  ,o 10:03  ,  ,|      ,o 10:11  ,  ,|      ,|      ,o 10:29  ,o 10:33  ,  ,|      ,o 10:41  ,  ,|      ,o 10:59  ,o 11:03  ,  ,|      ,o 11:11  ,  ,|      ,o 11:29  ,o 11:33  ,o 11:41  ,|      ,  ,|      ,o 12:29  ,o 12:33  ,o 12:41  ,|      ,  ,|      ,o 13:29  ,o 13:33  ,o 13:41  ,|      ,  ,|      ,o 14:29  ,o 14:33  ,o 14:41  ,|      ,  ,|      ,o 15:29  ,o 15:33  ,o 15:41  ,|      ,  ,|      ,16:30  ,o 16:33  ,  ,|      ,o 16:41  ,  ,|      ,17:00  ,o 17:03  ,  ,|      ,o 17:11  ,  ,|      ,17:30  ,o 17:33  ,  ,|      ,o 17:41  ,  ,|      ,18:00  ,o 18:03  ,  ,|      ,o 18:11  ,  ,|      ,18:30  ,o 18:33  ,  ,|      ,o 18:41  ,  ,|      ,19:00  ,o 19:03  ,  ,|      ,o 19:11  ,  ,|      ,19:30  ,o 19:33  ,  ,|      ,o 19:41  ,  ,|      ,20:00  ,o 20:03  ,  ,|      ,o 20:11  ,  ,|      ,20:30  ,o 20:33  ,  ,|      ,o 20:41  ,  ,|      ,21:00  ,o 21:03  ,  ,|      ,o 21:11  ,  ,|      ,o 21:29  ,o 21:33  ,o 21:41  ,|      ,  ,|      ,o 22:29  ,o 22:33  ,o 22:41  ,|      ,  ,|      ,o 23:29  ,o 23:33  ,o 23:41  ,|      ,  ,|      ,o 0:29  ,o 0:33  ,o 0:41  
86,CAPITOL (HSR) $,|      ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,16:34  ,  ,  ,|      ,  ,  ,|      ,17:04  ,  ,  ,|      ,  ,  ,|      ,17:34  ,  ,  ,|      ,  ,  ,|      ,18:04  ,  ,  ,|      ,  ,  ,|      ,18:34  ,  ,  ,|      ,  ,  ,|      ,19:04  ,  ,  ,|      ,  ,  ,|      ,19:34  ,  ,  ,|      ,  ,  ,|      ,20:04  ,  ,  ,|      ,  ,  ,|      ,20:34  ,  ,  ,|      ,  ,  ,|      ,21:04  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  
91,BLOSSOM HILL (HSR) $,|      ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,17:08  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,18:08  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,19:08  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,20:08  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,21:08  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  
110,MORGAN HILL (HSR) $,|      ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,16:48  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,17:48  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,18:48  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,19:48  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,20:48  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  
116,SAN MARTIIN (HSR) $,|      ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  
126,GILROY (HSR) $,6:13  ,6:31  ,  ,6:37  ,6:49  ,  ,  ,  ,7:01  ,  ,  ,7:07  ,7:13  ,7:19  ,  ,  ,  ,7:31  ,  ,  ,7:37  ,7:49  ,  ,  ,  ,8:01  ,  ,  ,8:07  ,8:13  ,8:19  ,  ,  ,  ,8:31  ,  ,  ,8:37  ,8:49  ,  ,  ,  ,9:01  ,  ,  ,9:07  ,9:13  ,9:19  ,  ,  ,  ,9:31  ,  ,  ,9:37  ,9:49  ,  ,  ,  ,10:01  ,  ,  ,10:07  ,10:13  ,10:19  ,  ,  ,  ,10:31  ,  ,  ,10:37  ,10:49  ,  ,  ,  ,11:01  ,  ,  ,11:07  ,  ,  ,  ,11:31  ,  ,  ,11:37  ,  ,  ,  ,12:31  ,  ,12:37  ,  ,  ,  ,13:31  ,  ,13:37  ,  ,  ,  ,14:31  ,  ,14:37  ,  ,  ,  ,15:31  ,  ,15:37  ,  ,  ,  ,16:31  ,  ,16:37  ,o 16:56  ,  ,  ,17:01  ,  ,  ,17:07  ,o 17:26  ,  ,  ,17:31  ,  ,  ,17:37  ,o 17:56  ,  ,  ,18:01  ,  ,  ,18:07  ,o 18:26  ,  ,  ,18:31  ,  ,  ,18:37  ,o 18:56  ,  ,  ,19:01  ,  ,  ,19:07  ,o 19:26  ,  ,  ,19:31  ,  ,  ,19:37  ,o 19:56  ,  ,  ,20:01  ,  ,  ,20:07  ,o 20:26  ,  ,  ,20:31  ,  ,  ,20:37  ,o 20:56  ,  ,  ,21:01  ,  ,  ,21:07  ,o 21:26  ,  ,  ,21:31  ,  ,  ,21:37  ,  ,  ,  ,22:31  ,  ,22:37  ,  ,  ,  ,23:31  ,  ,23:37  ,  ,  ,  ,0:31  ,  ,0:37  ,  ,  ,  
