Station,Distance,Year,Population,Employment,Total,lat,lng,walkable_distance
Burlingame,2.0,2016,22285,13446,35731,37.5799379,-122.3450469,100
San Mateo,2.0,2016,34462,12750,47212,37.6377946,-122.416301,100
Hayward Park,2.0,2016,24727,30934,55660,37.5531106,-122.309706,100
Hillsdale,2.0,2016,39285,24883,64168,37.5384336,-122.2980147,100
Belmont,2.0,2016,38015,22734,60749,37.5212913,-122.2763428,100
San Carlos,2.0,2016,25232,21207,46439,37.5065453,-122.2591686,100
Redwood City,2.0,2016,56456,35761,92217,37.4858238,-122.2317187,100
Atherton,2.0,2016,34609,11715,46324,37.4645161,-122.1979797,100
Menlo Park,2.0,2016,24255,13300,37556,37.454801,-122.1825892,100
Palo Alto,2.0,2016,42274,45598,87872,37.4291697,-122.1419222,100
California Ave,2.0,2016,43238,54000,97238,37.4291697,-122.1419222,100
San Antonio,2.0,2016,52030,41067,93097,37.4072285,-122.1071304,100
Mountain View,2.0,2016,52894,50196,103090,37.3945523,-122.0760376,100
Sunnyvale,2.0,2016,78369,42106,120475,37.3784365,-122.0307794,100
Lawrence,2.0,2016,70657,57396,128053,37.3704129,-121.9959796,100
Santa Clara,2.0,2016,45686,60380,106067,37.3531073,-121.936245,100
College Park,2.0,2016,30005,47263,77269,37.3426862,-121.9155326,100
San Jose Diridon,2.0,2016,62075,51386,113461,37.330074,-121.90175,100
Tamien,2.0,2016,66332,24456,90788,37.3126323,-121.8847168,100
Capitol,2.0,2016,102497,14375,116872,37.2839762,-121.8417687,100
Blossom Hill,2.0,2016,73067,23452,96520,37.2524092,-121.7974864,100
Morgan Hill,2.0,2016,29805,14536,44341,37.1301723,-121.6502314,100
San Martin,2.0,2016,7646,1574,9220,37.0857482,-121.6104315,100
Gilroy,2.0,2016,36775,15162,51937,37.004466,-121.5668751,100
Transbay,2.0,2040,211565,383324,594889,37.7889543,-122.3972246,100
4th and King,2.0,2040,98519,161547,260066,37.7766874,-122.394857,100
22nd St,2.0,2040,142674,80870,223544,37.7573859,-122.3928981,100
Bayshore,2.0,2040,139924,25218,165142,37.7076791,-122.4018319,100
South San Francisco,2.0,2040,54161,64380,118541,37.6558673,-122.4052008,100
San Bruno,2.0,2040,56355,48505,104861,37.6377946,-122.416301,100
Millbrae,2.0,2040,37623,39494,77117,37.6001863,-122.3868224,100
Broadway,2.0,2040,20786,17675,38461,37.5875333,-122.3627322,100
Burlingame,2.0,2040,26589,11347,37936,37.5799379,-122.3450469,1000
San Mateo,2.0,2040,37275,16190,53465,37.6377946,-122.416301,2000
Hayward Park,2.0,2040,35304,35592,70896,37.5531106,-122.309706,3000
Hillsdale,2.0,2040,49339,26435,75774,37.5384336,-122.2980147,4000
Belmont,2.0,2040,40536,27433,67969,37.5212913,-122.2763428,5000
San Carlos,2.0,2040,26130,21728,47858,37.5065453,-122.2591686,4000
Redwood City,2.0,2040,75814,48579,124393,37.4858238,-122.2317187,3000
Atherton,2.0,2040,49490,16989,66478,37.4645161,-122.1979797,2000
Menlo Park,2.0,2040,27593,13244,40837,37.454801,-122.1825892,1000
Palo Alto,2.0,2040,43478,61055,104533,37.4291697,-122.1419222,100
California Ave,2.0,2040,55337,45538,100874,37.4291697,-122.1419222,100
San Antonio,2.0,2040,65190,44128,109319,37.4072285,-122.1071304,100
Mountain View,2.0,2040,74159,63917,138076,37.3945523,-122.0760376,100
Sunnyvale,2.0,2040,103304,69902,173207,37.3784365,-122.0307794,100
Lawrence,2.0,2040,97138,73838,170976,37.3704129,-121.9959796,100
Santa Clara,2.0,2040,60488,76189,136676,37.3531073,-121.936245,100
College Park,2.0,2040,43936,43982,87917,37.3426862,-121.9155326,100
San Jose Diridon,2.0,2040,127083,116065,243148,37.330074,-121.90175,100
Tamien,2.0,2040,83964,35153,119118,37.3126323,-121.8847168,100
Capitol,2.0,2040,112048,16420,128468,37.2839762,-121.8417687,100
Blossom Hill,2.0,2040,87301,33237,120538,37.2524092,-121.7974864,100
Morgan Hill,2.0,2040,38941,19587,58528,37.1301723,-121.6502314,100
San Martin,2.0,2040,8834,2507,11341,37.0857482,-121.6104315,100
Gilroy,2.0,2040,46107,24547,70655,37.004466,-121.5668751,100
